coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
checkerboard_c100,256,cg,monitored,0,24,200920,4.00003045797348e-07,1.1391962000052445,1.1391966000082903,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
checkerboard_c100,128,amg-pcg,monitored,0,25,200920,0.020509199996013194,0.02613410004414618,0.046643300040159374,17,0,2.270764376125674e-09,True,7171943f59625b98725d60d254ebd2d628e8cb292f0f165f54c3bafea9fd51dd
inclusion_c100,256,jacobi-pcg,count-only,0,26,200920,0.000659500015899539,0.1598373999586329,0.16049689997453243,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
constant,64,cg,monitored,0,27,200920,5.00003807246685e-07,0.0056582000106573105,0.005658700014464557,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
checkerboard_c100,64,cg,count-only,0,28,200920,3.00002284348011e-07,0.01826689997687936,0.018267199979163706,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
constant,256,amg-pcg,count-only,0,29,200920,0.086843199969735,0.060856099997181445,0.14769929996691644,9,0,4.772606924289745e-09,True,1645b942fe9f4544e75616bc0c446d1b3a2fab2641fd30361a5ceb0afedb9cd2
inclusion_c100,64,jacobi-pcg,monitored,0,30,200920,0.0001433999859727919,0.006640399980824441,0.006783799966797233,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,64,amg-pcg,count-only,0,31,200920,0.010191800014581531,0.007411200029309839,0.01760300004389137,13,0,6.7173088631903965e-09,True,2bf4d23887fcabf620ada8e8fbb43f062837f21ef5202984e395decc74c45c98
checkerboard_c100,64,amg-pcg,monitored,0,32,200920,0.008639800013042986,0.006637699960265309,0.015277499973308295,13,0,6.7173088631903965e-09,True,2bf4d23887fcabf620ada8e8fbb43f062837f21ef5202984e395decc74c45c98
inclusion_c100,128,amg-pcg,monitored,0,33,200920,0.021080799982883036,0.02126990002579987,0.04235070000868291,12,0,1.6499946137624416e-09,True,4b6b6c067d6cd4d5cf25c35f2b449086f771872c920b32e61121250060b88612
constant,128,cg,count-only,0,34,200920,2.00001522898674e-07,0.01731260004453361,0.01731280004605651,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
checkerboard_c100,64,cg,monitored,0,35,200920,2.00001522898674e-07,0.020487300003878772,0.02048750000540167,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,128,jacobi-pcg,count-only,0,36,200920,0.0001427999814040959,0.02835490001598373,0.028497699997387826,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
inclusion_c100,64,amg-pcg,monitored,0,37,200920,0.006988200009800494,0.005110299971420318,0.012098499981220812,10,0,2.1847066183239094e-09,True,e69339ca47e4e74a6e6c1e8131d2b48577adef535aff8f124f4a844b754f49a3
inclusion_c100,64,jacobi-pcg,count-only,0,38,200920,4.3199979700148106e-05,0.003921299998182803,0.0039644999778829515,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,128,cg,count-only,0,39,200920,2.00001522898674e-07,0.14786989998538047,0.14787009998690337,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,128,jacobi-pcg,count-only,0,40,200920,0.00011989998165518045,0.02207720000296831,0.022197099984623492,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,128,amg-pcg,monitored,0,41,200920,0.021037700003944337,0.015402599994558841,0.03644029999850318,9,0,9.999037736756677e-09,True,98c399e9ece50a50181d752656f80e026952d1fe786bfa09290bee99f85b7bc1
inclusion_c100,128,amg-pcg,count-only,0,42,200920,0.02056470001116395,0.01815410004928708,0.03871880006045103,12,0,1.6499946137624416e-09,True,4b6b6c067d6cd4d5cf25c35f2b449086f771872c920b32e61121250060b88612
inclusion_c100,64,cg,count-only,0,43,200920,1.9994331523776054e-07,0.022986399999354035,0.022986599942669272,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
inclusion_c100,256,amg-pcg,monitored,0,44,200920,0.0743390999850817,0.07471929996972904,0.14905839995481074,12,0,4.444148283539973e-09,True,d56e2105bb348a08bd6f499b2c7f906cc33f16c8edcdd04a757001c2f233fe83
checkerboard_c100,128,jacobi-pcg,monitored,0,45,200920,0.00031350000062957406,0.04821829998400062,0.0485317999846302,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,jacobi-pcg,monitored,0,46,200920,0.00012969999806955457,0.008392699994146824,0.008522399992216378,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,256,cg,monitored,0,47,200920,3.00002284348011e-07,2.333737700013444,2.333738000015728,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,cg,monitored,0,48,200920,4.00003045797348e-07,0.029586899967398494,0.029587299970444292,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,64,jacobi-pcg,count-only,0,49,200920,0.00010959996143355966,0.004079699981957674,0.004189299943391234,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
inclusion_c100,256,cg,count-only,0,50,200920,6.00004568696022e-07,1.292077500023879,1.2920781000284478,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,amg-pcg,count-only,0,51,200920,0.020270899985916913,0.013345399987883866,0.03361629997380078,9,0,9.999037736756677e-09,True,98c399e9ece50a50181d752656f80e026952d1fe786bfa09290bee99f85b7bc1
inclusion_c100,64,cg,monitored,0,52,200920,2.00001522898674e-07,0.03745329997036606,0.03745349997188896,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,64,amg-pcg,monitored,0,53,200920,0.008280900015961379,0.0045597999705933034,0.012840699986554682,8,0,3.343163661219634e-09,True,39342d794c40253cac5afa161f835150dce8037795522bc41b83a2e1f4e36d52
