coefficient_case,n,method,mode,repeat,order,seed,setup_seconds,solve_seconds,total_seconds,iterations,info,residual_norm,accepted,solution_sha256
checkerboard_c100,128,jacobi-pcg,monitored,2,10,200922,0.00022069999249652028,0.04735349997645244,0.04757419996894896,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,amg-pcg,monitored,2,11,200922,0.007409899961203337,0.006470700027421117,0.013880599988624454,13,0,6.724059581078889e-09,True,9cd5c19e0c716c09ec7e3b2373f2e4ce054f4b1325ca0d23c64aba58144ad052
constant,64,cg,count-only,2,12,200922,2.9994407668709755e-07,0.0035142000415362418,0.003514499985612929,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
inclusion_c100,256,amg-pcg,monitored,2,13,200922,0.08224059996427968,0.07398470002226532,0.156225299986545,12,0,4.35930910530001e-09,True,7f6af9c639f58c626d64aeb78d76d223a2693fcd8f0ad71d94e8d0a99201b6bb
constant,64,jacobi-pcg,count-only,2,14,200922,0.00012149999383836985,0.0035865000099875033,0.003708000003825873,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
constant,128,cg,monitored,2,15,200922,2.9994407668709755e-07,0.03995640005450696,0.039956699998583645,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
constant,128,jacobi-pcg,monitored,2,16,200922,0.00021319999359548092,0.03599840000970289,0.03621160000329837,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,128,cg,count-only,2,17,200922,3.00002284348011e-07,0.0811466000159271,0.08114690001821145,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
inclusion_c100,256,jacobi-pcg,monitored,2,18,200922,0.0006692000315524638,0.2888694999855943,0.28953870001714677,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
constant,256,jacobi-pcg,count-only,2,19,200922,0.0005041999975219369,0.14851619995897636,0.1490203999564983,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,128,amg-pcg,monitored,2,20,200922,0.021381599945016205,0.026088999991770834,0.04747059993678704,17,0,2.2736870528557498e-09,True,2217edfe5ffe96d826ae851fc4f99b67ed1a465424b770d30180f6b7c8439d03
constant,64,amg-pcg,monitored,2,21,200922,0.008989099995233119,0.0043070000247098505,0.013296100019942969,8,0,3.329374688772828e-09,True,445a025ca2312f35c75a0a59d3ebfe576154e6b39b4fbbbc8120056755cffe25
inclusion_c100,128,jacobi-pcg,count-only,2,22,200922,0.00010850001126527786,0.023646699963137507,0.023755199974402785,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
checkerboard_c100,256,jacobi-pcg,monitored,2,23,200922,0.00043710001045838,0.37354339996818453,0.3739804999786429,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
inclusion_c100,128,cg,monitored,2,24,200922,4.00003045797348e-07,0.2506442000158131,0.2506446000188589,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,64,jacobi-pcg,count-only,2,25,200922,0.00011329998960718513,0.003937500005122274,0.004050799994729459,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
checkerboard_c100,256,cg,count-only,2,26,200922,3.00002284348011e-07,0.6389253999805078,0.6389256999827921,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,256,amg-pcg,count-only,2,27,200922,0.08389720000559464,0.06843980000121519,0.15233700000680983,12,0,4.35930910530001e-09,True,7f6af9c639f58c626d64aeb78d76d223a2693fcd8f0ad71d94e8d0a99201b6bb
inclusion_c100,256,cg,monitored,2,28,200922,3.00002284348011e-07,2.2819675999926403,2.2819678999949247,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,amg-pcg,monitored,2,29,200922,0.02347719995304942,0.016040400019846857,0.03951759997289628,10,0,9.192325533631857e-10,True,89e6fb34daa5563372b7062afa84a73a6461461ee3053c5f617e9e780c20f9ab
inclusion_c100,256,cg,count-only,2,30,200922,3.00002284348011e-07,1.2380847999593243,1.2380850999616086,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
checkerboard_c100,256,cg,monitored,2,31,200922,3.00002284348011e-07,1.2543716999934986,1.254371999995783,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
checkerboard_c100,64,cg,monitored,2,32,200922,3.00002284348011e-07,0.021555199986323714,0.021555499988608062,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,128,jacobi-pcg,count-only,2,33,200922,0.00026210001669824123,0.02866289997473359,0.028924999991431832,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
constant,256,cg,count-only,2,34,200922,2.9994407668709755e-07,0.13532980001764372,0.1353300999617204,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
inclusion_c100,64,cg,monitored,2,35,200922,3.00002284348011e-07,0.03708489995915443,0.037085199961438775,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,128,amg-pcg,count-only,2,36,200922,0.023227799974847585,0.01547079998999834,0.038698599964845926,10,0,9.192325533631857e-10,True,89e6fb34daa5563372b7062afa84a73a6461461ee3053c5f617e9e780c20f9ab
inclusion_c100,128,cg,count-only,2,37,200922,2.00001522898674e-07,0.15200160001404583,0.15200180001556873,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
checkerboard_c100,128,amg-pcg,count-only,2,38,200922,0.022313399997074157,0.02514270000392571,0.04745610000099987,17,0,2.2736870528557498e-09,True,2217edfe5ffe96d826ae851fc4f99b67ed1a465424b770d30180f6b7c8439d03
constant,256,amg-pcg,count-only,2,39,200922,0.082493300025817,0.06168370001250878,0.1441770000383258,9,0,4.731149666559529e-09,True,b811e71b34239237de6e6eb1c703c40d2a105b5edbec2fedb5d424159f731c1b
inclusion_c100,64,amg-pcg,count-only,2,40,200922,0.008142200007569045,0.004983299993909895,0.01312550000147894,10,0,2.1869989495386992e-09,True,ca1a15911f81c7c5c6f5130ad2ea3e40af98960e8acc8f1e672a87a5d56c0d05
constant,64,cg,monitored,2,41,200922,3.00002284348011e-07,0.005533100047614425,0.005533400049898773,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
constant,128,cg,count-only,2,42,200922,4.00003045797348e-07,0.01910649996716529,0.01910689997021109,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
checkerboard_c100,64,amg-pcg,count-only,2,43,200922,0.007858299999497831,0.006704100000206381,0.014562399999704212,13,0,6.724059581078889e-09,True,9cd5c19e0c716c09ec7e3b2373f2e4ce054f4b1325ca0d23c64aba58144ad052
constant,64,amg-pcg,count-only,2,44,200922,0.008474400034174323,0.004093199968338013,0.012567600002512336,8,0,3.329374688772828e-09,True,445a025ca2312f35c75a0a59d3ebfe576154e6b39b4fbbbc8120056755cffe25
inclusion_c100,256,jacobi-pcg,count-only,2,45,200922,0.000534999999217689,0.17470900004263967,0.17524400004185736,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
checkerboard_c100,64,jacobi-pcg,count-only,2,46,200922,0.00012640003114938736,0.005599699972663075,0.005726100003812462,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
checkerboard_c100,64,jacobi-pcg,monitored,2,47,200922,6.900000153109431e-05,0.00867930002277717,0.008748300024308264,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
constant,128,jacobi-pcg,count-only,2,48,200922,0.0002313999575562775,0.019058600009884685,0.019289999967440963,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,256,amg-pcg,count-only,2,49,200922,0.08275120001053438,0.09748659998876974,0.18023779999930412,17,0,3.6692706561934e-09,True,6bc5b20bde5040e0b7f88b14eb03cc26f8771ed5d643fbb39a8a0a69d8408105
checkerboard_c100,128,cg,monitored,2,50,200922,3.00002284348011e-07,0.1387002000119537,0.13870050001423806,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
checkerboard_c100,64,cg,count-only,2,51,200922,3.00002284348011e-07,0.012730400019790977,0.012730700022075325,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
constant,256,cg,monitored,2,52,200922,3.00002284348011e-07,0.2467598000075668,0.24676010000985116,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
constant,64,jacobi-pcg,monitored,2,53,200922,0.0001107999705709517,0.0058169999974779785,0.00592779996804893,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
checkerboard_c100,256,amg-pcg,count-only,3,0,200923,0.07455229997867718,0.0975040000048466,0.17205629998352379,17,0,3.6647078139340026e-09,True,846050ffac7dcdf2b73c62f631c0cbb5b5f48bc61ff02b951eff983db6e19359
checkerboard_c100,64,jacobi-pcg,count-only,3,1,200923,0.00012779998360201716,0.00525819999165833,0.005385999975260347,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
checkerboard_c100,128,amg-pcg,count-only,3,2,200923,0.021402299986220896,0.027239800023380667,0.04864210000960156,17,0,2.270845505999134e-09,True,9e274efb70e78716ab00b29b8a82f869bc4a8e078183f45d8e23aa50cb72b791
checkerboard_c100,256,jacobi-pcg,monitored,3,3,200923,0.0005915999645367265,0.377742099983152,0.37833369994768873,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
inclusion_c100,64,cg,monitored,3,4,200923,2.00001522898674e-07,0.037326999998185784,0.03732719999970868,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
constant,64,cg,count-only,3,5,200923,7.00005330145359e-07,0.003346499986946583,0.003347199992276728,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
checkerboard_c100,64,amg-pcg,count-only,3,6,200923,0.008247500052675605,0.006162600009702146,0.014410100062377751,13,0,6.718946958719357e-09,True,6d93012ebe4528188c6889baa0e987dad929825192c41cee4e7851717a8bb209
checkerboard_c100,256,amg-pcg,monitored,3,7,200923,0.0855285000288859,0.10356519999913871,0.1890937000280246,17,0,3.6647078139340026e-09,True,846050ffac7dcdf2b73c62f631c0cbb5b5f48bc61ff02b951eff983db6e19359
inclusion_c100,256,amg-pcg,count-only,3,8,200923,0.08606489998055622,0.06874939997214824,0.15481429995270446,12,0,4.445828744754539e-09,True,128a62fc63ba9cf5c869f1b46b6a30c25d35b2e0310b610487c0e2505ebd61e6
checkerboard_c100,64,jacobi-pcg,monitored,3,9,200923,0.00011639995500445366,0.008370499999728054,0.008486899954732507,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
inclusion_c100,128,jacobi-pcg,monitored,3,10,200923,0.00022149999858811498,0.03805749997263774,0.03827899997122586,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
constant,64,amg-pcg,monitored,3,11,200923,0.008217299997340888,0.004166400001849979,0.012383699999190867,8,0,3.3321637138465776e-09,True,16882a33df33a1c947324ff246f0102f2cd8ba71f02832b252c9697f04d28ea3
inclusion_c100,256,amg-pcg,monitored,3,12,200923,0.07999130000825971,0.07114810001803562,0.15113940002629533,12,0,4.445828744754539e-09,True,128a62fc63ba9cf5c869f1b46b6a30c25d35b2e0310b610487c0e2505ebd61e6
inclusion_c100,64,jacobi-pcg,monitored,3,13,200923,0.00012589996913447976,0.0063952000346034765,0.006521100003737956,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,256,jacobi-pcg,monitored,3,14,200923,0.0004841000190936029,0.3009546999819577,0.3014388000010513,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
constant,256,cg,monitored,3,15,200923,3.00002284348011e-07,0.2549870000220835,0.25498730002436787,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
inclusion_c100,64,jacobi-pcg,count-only,3,16,200923,0.0001278999843634665,0.003992700017988682,0.004120600002352148,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,256,cg,monitored,3,17,200923,5.00003807246685e-07,2.2612966999877244,2.2612971999915317,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
checkerboard_c100,256,cg,count-only,3,18,200923,3.00002284348011e-07,0.6230767000233755,0.6230770000256598,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
inclusion_c100,256,cg,count-only,3,19,200923,3.00002284348011e-07,1.3310854000155814,1.3310857000178657,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,jacobi-pcg,monitored,3,20,200923,0.00026510003954172134,0.034743600001093,0.03500870004063472,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,64,amg-pcg,count-only,3,21,200923,0.007571499969344586,0.004832900012843311,0.012404399982187897,10,0,2.1901887492638025e-09,True,6ce3841d952f7044fe1ed4e6fb1fca673e08da56da9f6fbc71b0f6f17130528c
constant,64,cg,monitored,3,22,200923,2.00001522898674e-07,0.0055751000181771815,0.00557530001970008,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
inclusion_c100,128,cg,count-only,3,23,200923,3.00002284348011e-07,0.15555790002690628,0.15555820002919063,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
constant,64,amg-pcg,count-only,3,24,200923,0.007640699972398579,0.00397070002509281,0.01161139999749139,8,0,3.3321637138465776e-09,True,16882a33df33a1c947324ff246f0102f2cd8ba71f02832b252c9697f04d28ea3
checkerboard_c100,128,jacobi-pcg,monitored,3,25,200923,0.0001037000329233706,0.05256529996404424,0.052668999996967614,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
constant,64,jacobi-pcg,monitored,3,26,200923,9.169999975711107e-05,0.005704600014723837,0.0057963000144809484,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
checkerboard_c100,256,cg,monitored,3,27,200923,3.00002284348011e-07,1.3552775999996811,1.3552779000019655,2268,0,9.539337493402757e-09,True,3b659ef6136dc9e2825d50c9a169b3c6cc8a7974190c33e87aa52033c8d1b75b
constant,128,amg-pcg,count-only,3,28,200923,0.029727999994065613,0.017734199995175004,0.04746219998924062,10,0,9.240381127678951e-10,True,e7a7a5ebb2740a9d601ff716be13ede56d858657d6f1fe5d7fc8fe8ad38119fc
checkerboard_c100,128,cg,count-only,3,29,200923,5.00003807246685e-07,0.08982519997516647,0.08982569997897372,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
inclusion_c100,64,cg,count-only,3,30,200923,3.00002284348011e-07,0.02291290002176538,0.02291320002404973,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
checkerboard_c100,64,cg,monitored,3,31,200923,5.00003807246685e-07,0.021220299997366965,0.02122080000117421,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
inclusion_c100,128,jacobi-pcg,count-only,3,32,200923,0.00015279999934136868,0.022119600034784526,0.022272400034125894,264,0,8.907044783456688e-09,True,b929877f4855c7ceea3cc6eea70690097c5752b4dc99e52d78d1bae84d1837af
checkerboard_c100,128,cg,monitored,3,33,200923,3.00002284348011e-07,0.1460351999849081,0.14603549998719245,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,128,amg-pcg,monitored,3,34,200923,0.022064399963710457,0.0163394000264816,0.038403799990192056,10,0,9.240381127678951e-10,True,e7a7a5ebb2740a9d601ff716be13ede56d858657d6f1fe5d7fc8fe8ad38119fc
constant,256,jacobi-pcg,count-only,3,35,200923,0.0005658000009134412,0.16772050003055483,0.16828630003146827,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
constant,64,jacobi-pcg,count-only,3,36,200923,0.00012420001439750195,0.003614199988078326,0.003738400002475828,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
inclusion_c100,128,cg,monitored,3,37,200923,4.00003045797348e-07,0.26792770001338795,0.26792810001643375,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,256,jacobi-pcg,count-only,3,38,200923,0.0007513000164180994,0.1882746999617666,0.1890259999781847,535,0,9.135833515243266e-09,True,90548a65052b15242b792b539d832a744f12f45b094f5506dfc824e3a27fb915
constant,256,amg-pcg,count-only,3,39,200923,0.08358550001867115,0.055766599951311946,0.1393520999699831,9,0,4.763698576471109e-09,True,cc50f7b150d0c93235c61c9f60e35b76de0e2488fe0348d288654e59a4e71be2
checkerboard_c100,128,amg-pcg,monitored,3,40,200923,0.028076099988538772,0.03478530002757907,0.06286140001611784,17,0,2.270845505999134e-09,True,9e274efb70e78716ab00b29b8a82f869bc4a8e078183f45d8e23aa50cb72b791
constant,128,jacobi-pcg,count-only,3,41,200923,0.0002416999777778983,0.02161049999995157,0.02185219997772947,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
inclusion_c100,128,amg-pcg,count-only,3,42,200923,0.021445300022605807,0.018465999979525805,0.03991130000213161,12,0,1.6531826799321117e-09,True,1d04ba75e7e1fa3ce4f35aa16d5ded17c2bd74e74592457d06fe70874988fb2a
checkerboard_c100,64,cg,count-only,3,43,200923,4.00003045797348e-07,0.012901999987661839,0.012902399990707636,443,0,8.53720063550755e-09,True,fba70ae44f6c8c24b4b9ae68254028c5fbe06e1ed5e1ed59d41b13a368962fe4
checkerboard_c100,128,jacobi-pcg,count-only,3,44,200923,0.00024719996144995093,0.02940410003066063,0.02965129999211058,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,64,amg-pcg,monitored,3,45,200923,0.008730500005185604,0.006594200036488473,0.015324700041674078,13,0,6.718946958719357e-09,True,6d93012ebe4528188c6889baa0e987dad929825192c41cee4e7851717a8bb209
constant,128,cg,count-only,3,46,200923,2.00001522898674e-07,0.020867299987003207,0.020867499988526106,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
inclusion_c100,128,amg-pcg,monitored,3,47,200923,0.020632300002034754,0.01902250002603978,0.03965480002807453,12,0,1.6531826799321117e-09,True,1d04ba75e7e1fa3ce4f35aa16d5ded17c2bd74e74592457d06fe70874988fb2a
constant,256,cg,count-only,3,48,200923,1.9994331523776054e-07,0.15169920003972948,0.1516993999830447,466,0,9.709840683962918e-09,True,ec32a37a5ef3edb3e782a68e65d652eb4aea84614468e37faee4431f0ccef35d
constant,256,amg-pcg,monitored,3,49,200923,0.08594679995439947,0.05638279998674989,0.14232959994114935,9,0,4.763698576471109e-09,True,cc50f7b150d0c93235c61c9f60e35b76de0e2488fe0348d288654e59a4e71be2
constant,256,jacobi-pcg,monitored,3,50,200923,0.00046500004827976227,0.32375510002020746,0.3242201000684872,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,256,jacobi-pcg,count-only,3,51,200923,0.001177600002847612,0.26076109998393804,0.26193869998678565,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
constant,128,cg,monitored,3,52,200923,3.9994483813643456e-07,0.033012600033544004,0.03301299997838214,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
inclusion_c100,64,amg-pcg,monitored,3,53,200923,0.010153900017030537,0.0054021000396460295,0.015556000056676567,10,0,2.1901887492638025e-09,True,6ce3841d952f7044fe1ed4e6fb1fca673e08da56da9f6fbc71b0f6f17130528c
inclusion_c100,64,cg,count-only,4,0,200924,2.00001522898674e-07,0.02383749996079132,0.02383769996231422,796,0,6.111489849440583e-09,True,e1f6cc44710120e03a5a7206da00b7ff88e245dc109dab1c2998ea663f7ef3af
checkerboard_c100,64,amg-pcg,count-only,4,1,200924,0.007441400026436895,0.006248599966056645,0.01368999999249354,13,0,6.720252493554247e-09,True,2ea8c6a9bc61310ada83e433198f9c90f0a42c1c66556e84b48a7e7f46011e82
checkerboard_c100,128,cg,monitored,4,2,200924,3.00002284348011e-07,0.1441124000120908,0.14411270001437515,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,128,jacobi-pcg,count-only,4,3,200924,0.0001501000369898975,0.019907899957615882,0.02005799999460578,235,0,9.504054098938157e-09,True,f4ec07c5bd1f4382a4a01680ded95a64c68eb941cdfcc20d9061420ea474b93b
checkerboard_c100,128,cg,count-only,4,4,200924,3.00002284348011e-07,0.0834801000310108,0.08348040003329515,1050,0,9.782864464391687e-09,True,84c561769da9f6b3fdaab130911b114e0dd94d482c92774463dd3cb7d50f8696
constant,64,jacobi-pcg,monitored,4,5,200924,0.00010229996405541897,0.00580800004536286,0.005910300009418279,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
constant,128,cg,monitored,4,6,200924,4.00003045797348e-07,0.030712900042999536,0.030713300046045333,235,0,9.50409016582839e-09,True,088e7f40b2644cbdf8cb83f24a9d3bdc0757add1ef99d0b71ecd1443f5a4a39e
checkerboard_c100,256,amg-pcg,monitored,4,7,200924,0.08437359996605664,0.10461209999630228,0.18898569996235892,17,0,3.6685918857889993e-09,True,140b3a25479b097e76613d08af439fa2dd1392a9ea6b0a88485fbada38f13b9d
constant,64,cg,monitored,4,8,200924,2.00001522898674e-07,0.005897499970160425,0.005897699971683323,116,0,7.1195348044133394e-09,True,c0c186dd12b9986020bfdbabadf49bb40009aa5e74f132a8c9c9f99241bced47
inclusion_c100,128,cg,count-only,4,9,200924,3.00002284348011e-07,0.15153040003497154,0.15153070003725588,1957,0,9.159413513446195e-09,True,bca1848e521fc289b28a433008e24b94805651a12f1c4017f779d6e9558d0363
inclusion_c100,256,cg,count-only,4,10,200924,4.00003045797348e-07,1.350905100000091,1.3509055000031367,4368,0,9.47474092771194e-09,True,3e314424b8fefbedee22622d84da40659140318f3b7bd1392fad611a493531f6
constant,128,amg-pcg,count-only,4,11,200924,0.021550700010266155,0.014071699988562614,0.03562239999882877,9,0,9.995887587038513e-09,True,05c8fec009300eaf74012f0795c278d07cb99208cb42b47801be11dc7522bd5c
inclusion_c100,64,jacobi-pcg,monitored,4,12,200924,0.00011059996904805303,0.006766100006643683,0.006876699975691736,129,0,8.751716809779867e-09,True,e2ee5f3552415541a37097a0624fc987623e4bba081258008cd7f2ef7baad8e7
inclusion_c100,256,amg-pcg,monitored,4,13,200924,0.09248049999587238,0.07674579997546971,0.1692262999713421,12,0,4.446509909327973e-09,True,2d6c56e6f17bf42c079133f242c9bcd62bfe63b6e124a167e1cd1b4b460a0901
constant,256,amg-pcg,count-only,4,14,200924,0.09951359999831766,0.05741459998534992,0.15692819998366758,9,0,4.7381413707009405e-09,True,ac05e8afed2e3a5e703b454ea349e825ee12859a3167ae2dd642fd291f0a1e34
constant,256,jacobi-pcg,monitored,4,15,200924,0.0005183999892324209,0.2881167999585159,0.28863519994774833,466,0,9.709647334825638e-09,True,0655f7f76977876468685585c09390380dc41c1c1b734baf37c9d59b3be2140c
checkerboard_c100,128,jacobi-pcg,count-only,4,16,200924,0.0002623000182211399,0.033154800010379404,0.033417100028600544,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,256,jacobi-pcg,count-only,4,17,200924,0.000756499997805804,0.2533151999814436,0.2540716999792494,718,0,9.718794633448405e-09,True,a99ea91fc49f801a8ee88a81f30b4addfaa884ce806b45191e88c9bc5836a2c2
checkerboard_c100,128,jacobi-pcg,monitored,4,18,200924,0.00023609999334439635,0.049945899983868,0.0501819999772124,350,0,9.663798804048138e-09,True,99fecc5386a0d58835fedc8683c03fdc1ad724c021ad1f233adb7a75f329cc3c
checkerboard_c100,128,amg-pcg,monitored,4,19,200924,0.02338979998603463,0.027317299973219633,0.050707099959254265,17,0,2.2503562071567874e-09,True,06e78794931d3cf93c3e1af335bb37146bf05ba828fba7e4c04fd60a0a3eb854
constant,64,jacobi-pcg,count-only,4,20,200924,0.00011880003148689866,0.0036840999964624643,0.003802900027949363,116,0,7.1195407181813896e-09,True,4cefd67782ebd94901a29834d2df1799372919f6498b2b63ff2d006d5ec0908d
constant,256,amg-pcg,monitored,4,21,200924,0.08145519997924566,0.05972670001210645,0.1411818999913521,9,0,4.7381413707009405e-09,True,ac05e8afed2e3a5e703b454ea349e825ee12859a3167ae2dd642fd291f0a1e34
checkerboard_c100,64,jacobi-pcg,monitored,4,22,200924,0.00014209997607395053,0.009459600027184933,0.009601700003258884,171,0,8.56726025116485e-09,True,281028f86ce07d0af18d72207fbb32d28fb188bb2ee72474df1e863e6d5cfba8
