coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
smooth_c3,smooth,3.0,2.997515386722866,3.617291225628967,2.5451600517251203,64,3844,amg-pcg,1e-08,True,8,0.01705470005981624,0.008231799933128059,0.0252864999929443,3.810624805609883e-09,0.3197669982910156,jacobi-pcg,False,0.6346864917404281
smooth_c3,smooth,3.0,2.9993882080928143,3.625320120861166,2.5461544686712956,128,15876,cg,1e-08,True,372,4.00003045797348e-07,0.3508187000406906,0.3508191000437364,8.769206177474398e-09,1.3266029357910156,amg-pcg,False,1.0
smooth_c3,smooth,3.0,2.9993882080928143,3.625320120861166,2.5461544686712956,128,15876,jacobi-pcg,1e-08,True,298,0.00015540001913905144,0.2734466000692919,0.27360200008843094,9.648233096408127e-09,1.3266029357910156,amg-pcg,False,1.2822241793932359
smooth_c3,smooth,3.0,2.9993882080928143,3.625320120861166,2.5461544686712956,128,15876,amg-pcg,1e-08,True,9,0.06929110002238303,0.02968529995996505,0.09897639998234808,8.863182498838213e-09,1.3266029357910156,amg-pcg,True,3.5444722186935786
smooth_c3,smooth,3.0,2.9998482259887167,3.626953919346322,2.546398567465192,256,64516,cg,1e-08,True,770,5.00003807246685e-07,1.2285448000766337,1.228545300080441,9.710644507811612e-09,5.402774810791016,amg-pcg,False,1.0
smooth_c3,smooth,3.0,2.9998482259887167,3.626953919346322,2.546398567465192,256,64516,jacobi-pcg,1e-08,True,605,0.00032750004902482033,0.8947274999227375,0.8950549999717623,9.880300887892084e-09,5.402774810791016,amg-pcg,False,1.372591963755523
smooth_c3,smooth,3.0,2.9998482259887167,3.626953919346322,2.546398567465192,256,64516,amg-pcg,1e-08,True,9,0.2367043000413105,0.08486210007686168,0.32156640011817217,4.8772630645167525e-09,5.402774810791016,amg-pcg,True,3.820502700620972
smooth_c10,smooth,10.0,9.969319610984629,8.89354303258903,4.164807357368378,64,3844,cg,1e-08,True,209,5.00003807246685e-07,0.01184710010420531,0.011847600108012557,8.897428865242803e-09,0.3197669982910156,jacobi-pcg,False,1.0
smooth_c10,smooth,10.0,9.969319610984629,8.89354303258903,4.164807357368378,64,3844,jacobi-pcg,1e-08,True,146,8.290004916489124e-05,0.007671399973332882,0.007754300022497773,9.13310867730358e-09,0.3197669982910156,jacobi-pcg,True,1.5278748660277233
smooth_c10,smooth,10.0,9.969319610984629,8.89354303258903,4.164807357368378,64,3844,amg-pcg,1e-08,True,8,0.010300299967639148,0.004939000005833805,0.015239299973472953,4.780365922785352e-09,0.3197669982910156,jacobi-pcg,False,0.7774372923057931
smooth_c10,smooth,10.0,9.992433125831916,8.928526094469417,4.166434585098483,128,15876,cg,1e-08,True,447,5.00003807246685e-07,0.31250290002208203,0.3125034000258893,9.372009866155976e-09,1.3266029357910156,amg-pcg,False,1.0
smooth_c10,smooth,10.0,9.992433125831916,8.928526094469417,4.166434585098483,128,15876,jacobi-pcg,1e-08,True,298,0.0001330999657511711,0.20969149994198233,0.2098245999077335,9.944942003713102e-09,1.3266029357910156,amg-pcg,False,1.4893553957129282
smooth_c10,smooth,10.0,9.992433125831916,8.928526094469417,4.166434585098483,128,15876,amg-pcg,1e-08,True,9,0.06370010005775839,0.025075299898162484,0.08877539995592088,7.498447787937438e-09,1.3266029357910156,amg-pcg,True,3.5201576132696077
smooth_c10,smooth,10.0,9.998122046006907,8.938091736066426,4.166834019488497,256,64516,cg,1e-08,True,931,4.00003045797348e-07,1.1753884999779984,1.1753888999810442,9.761968811621103e-09,5.402774810791016,amg-pcg,False,1.0
