model_component,method,observations,alpha_seconds,beta_seconds_per_unknown,r2,crossover_n_unknowns,crossover_grid_n,cpu_alpha_seconds,cpu_beta_seconds_per_unknown,gpu_alpha_seconds,gpu_beta_seconds_per_unknown
cpu,numba-parallel-cpu,4,-0.0003025626919727264,6.779883105680735e-10,0.9990730746930108,0.0,0.0,-0.0003025626919727264,6.779883105680735e-10,-2.564552613593764e-05,1.8961632012842585e-10
cuda,cuda-kernel,4,-2.564552613593764e-05,1.8961632012842585e-10,0.9994804424498841,0.0,0.0,-0.0003025626919727264,6.779883105680735e-10,-2.564552613593764e-05,1.8961632012842585e-10
crossover,linear_cpu_vs_cuda,4,0.0,0.0,0.9990730746930108,567020.9824840678,755.0079564546896,-0.0003025626919727264,6.779883105680735e-10,-2.564552613593764e-05,1.8961632012842585e-10
