n,n_unknowns,steps,method,repeats,seconds_per_step,steps_per_second,estimated_gbytes_per_second,max_abs_error,speedup_vs_cpu
512,260100,20,numba-parallel-cpu,229,4.38108515374639e-05,22825.395191072046,237.47541156791357,0.0,1.0
512,260100,20,cuda-kernel,228,4.3908026316529956e-05,22774.879307739055,236.94984431771712,0.0,0.9977868561350144
1024,1044484,20,numba-parallel-cpu,52,0.00019476634613686027,5134.35724310046,214.51015962810166,0.0,1.0
1024,1044484,20,cuda-kernel,79,0.00012773164559768725,7828.913464010882,327.0869940217577,0.0,1.5248088696070692
2048,4186116,20,numba-parallel-cpu,4,0.00257595000002766,388.20629281983815,65.00306294695238,0.0,1.0
2048,4186116,20,cuda-kernel,13,0.0007973938463972165,1254.0854240576325,209.9898823605776,0.0,3.2304613481359468
4096,16760836,20,numba-parallel-cpu,3,0.011061503334591787,90.40362505454182,60.60961333378666,0.0,1.0
4096,16760836,20,cuda-kernel,4,0.003147638750670012,317.6984651708009,212.99567488718023,0.0,3.5142226318815064
