case_name,coefficient_case,n,n_unknowns,h,method,tol,maxiter,converged,iterations,residual_norm,solve_seconds,l2_error,linf_error
smooth_constant,constant,32,900,0.03225806451612903,cg,1e-11,20000,True,1,2.6915763829273482e-14,0.000439200084656477,0.0004424137355817348,0.0008540879897025455
smooth_constant,constant,64,3844,0.015873015873015872,cg,1e-11,20000,True,1,1.0895461112545333e-13,0.00020050001330673695,0.00010529560980927075,0.00020711968873932118
smooth_constant,constant,128,15876,0.007874015748031496,cg,1e-11,20000,True,1,4.979126783113674e-13,0.0011332998983561993,2.569966873142721e-05,5.09868175535555e-05
smooth_constant,constant,256,64516,0.00392156862745098,cg,1e-11,20000,True,1,1.5974556571497615e-12,0.002734099980443716,6.349183842665742e-06,1.2648090215616747e-05
smooth_variable,smooth,32,900,0.03225806451612903,cg,1e-11,20000,True,95,7.375828933312336e-12,0.0027190999826416373,0.0004465527978413594,0.00108744769381508
smooth_variable,smooth,64,3844,0.015873015873015872,cg,1e-11,20000,True,205,8.830459742034986e-12,0.010397700010798872,0.00010603483173265879,0.0002625570914672748
smooth_variable,smooth,128,15876,0.007874015748031496,cg,1e-11,20000,True,431,9.775286943732492e-12,0.2813784999307245,2.586560920158046e-05,6.458144654875042e-05
smooth_variable,smooth,256,64516,0.00392156862745098,cg,1e-11,20000,True,890,2.0132688058040727e-11,1.1843623999739066,6.389301382133325e-06,1.601829056308013e-05
