n,face_average,k_left,k_right,l2_error,max_error,interface_flux,exact_flux,flux_error_abs,left_flux,right_flux,flux_mismatch_abs
32,arithmetic,1.0,100.0,0.012718725757412095,0.030646246828054835,-2.043533596579898,-1.9801980198019802,0.06333557677791779,-2.0435335965799615,-2.0435335965799717,1.021405182655144e-14
32,harmonic,1.0,100.0,5.961798145162786e-16,1.1102230246251565e-15,-1.9801980198019853,-1.9801980198019802,5.10702591327572e-15,-1.9801980198019788,-1.9801980198015934,3.8546943414985435e-13
64,arithmetic,1.0,100.0,0.006210286764458248,0.015090065888993642,-2.0108649278991586,-1.9801980198019802,0.030666908097178425,-2.010864927898973,-2.0108649278992807,3.077538224260934e-13
64,harmonic,1.0,100.0,1.5623929780449394e-15,2.886579864025407e-15,-1.9801980198019735,-1.9801980198019802,6.661338147750939e-15,-1.9801980198019895,-1.9801980198010383,9.512390874988341e-13
128,arithmetic,1.0,100.0,0.0030692346296603934,0.0074880271994735015,-1.995292931775245,-1.9801980198019802,0.015094911973264846,-1.9952929317754142,-1.9952929317776702,2.255973186038318e-12
128,harmonic,1.0,100.0,3.554539209960319e-14,5.495603971894525e-14,-1.9801980198020046,-1.9801980198019802,2.4424906541753444e-14,-1.980198019801982,-1.9801980198000502,1.9317880628477724e-12
256,arithmetic,1.0,100.0,0.0015258026600978153,0.00372991596580452,-1.9876872211499566,-1.9801980198019802,0.007489201347976371,-1.98768722115082,-1.9876872211516128,7.926992395823618e-13
256,harmonic,1.0,100.0,9.512963491092613e-15,1.787459069646502e-14,-1.9801980198020293,-1.9801980198019802,4.907185768843192e-14,-1.980198019802134,-1.980198019800039,2.0949908474676704e-12
