coefficient_case,family,n,n_unknowns,face_average,condition_n,condition_estimate,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
layered_c100,layered,128,15876,harmonic,128,263907.4295512045,cg,1e-08,True,2442,3.00002284348011e-07,1.5022552999434993,1.5022555999457836,9.345632915774505e-09,1.3266029357910156,amg-pcg,False,1.0
layered_c100,layered,128,15876,harmonic,128,263907.4295512045,jacobi-pcg,1e-08,True,367,0.0001262999139726162,0.2324143999721855,0.2325406998861581,9.516256687947326e-09,1.3266029357910156,amg-pcg,False,6.460183532092331
layered_c100,layered,128,15876,harmonic,128,263907.4295512045,amg-pcg,1e-08,True,10,0.05600360000971705,0.024853499955497682,0.08085709996521473,4.093324915427836e-09,1.3266029357910156,amg-pcg,True,18.579142717115307
layered_c100,layered,256,64516,arithmetic,128,260711.53678791114,cg,1e-08,True,5055,6.00004568696022e-07,5.781206000014208,5.781206600018777,9.736554715984458e-09,5.402774810791016,amg-pcg,False,1.0
layered_c100,layered,256,64516,arithmetic,128,260711.53678791114,jacobi-pcg,1e-08,True,657,0.0003627000842243433,0.7850111000007018,0.7853738000849262,9.665856518359263e-09,5.402774810791016,amg-pcg,False,7.361089202865728
layered_c100,layered,256,64516,arithmetic,128,260711.53678791114,amg-pcg,1e-08,True,10,0.16176089993678033,0.07479009998496622,0.23655099992174655,3.5555687536588473e-09,5.402774810791016,amg-pcg,True,24.439577942732257
layered_c100,layered,256,64516,harmonic,128,263907.4295512045,cg,1e-08,True,5054,3.00002284348011e-07,5.487808600068092,5.487808900070377,9.948709949164592e-09,5.402774810791016,amg-pcg,False,1.0
layered_c100,layered,256,64516,harmonic,128,263907.4295512045,jacobi-pcg,1e-08,True,715,0.0005284999497234821,0.899553700000979,0.9000821999507025,9.661037572956205e-09,5.402774810791016,amg-pcg,False,6.097008584739198
layered_c100,layered,256,64516,harmonic,128,263907.4295512045,amg-pcg,1e-08,True,10,0.15911850007250905,0.07269889989402145,0.2318173999665305,6.435093236219772e-09,5.402774810791016,amg-pcg,True,23.672980979265144
checkerboard_c100,checkerboard,64,3844,arithmetic,64,6548.918739133818,cg,1e-08,True,443,3.998866304755211e-07,0.02093660004902631,0.020936999935656786,8.53720063550755e-09,0.3197669982910156,jacobi-pcg,False,1.0
checkerboard_c100,checkerboard,64,3844,arithmetic,64,6548.918739133818,jacobi-pcg,1e-08,True,171,0.00010830000974237919,0.009419900015927851,0.00952820002567023,8.56726025116485e-09,0.3197669982910156,jacobi-pcg,True,2.1973719988297624
checkerboard_c100,checkerboard,64,3844,arithmetic,64,6548.918739133818,amg-pcg,1e-08,True,13,0.00910579995252192,0.006632299977354705,0.015738099929876626,6.708175434089456e-09,0.3197669982910156,jacobi-pcg,False,1.3303384798002686
checkerboard_c100,checkerboard,64,3844,harmonic,64,31983.777989145317,cg,1e-08,True,557,3.00002284348011e-07,0.025611900025978684,0.025612200028263032,9.809199527329974e-09,0.3197669982910156,jacobi-pcg,False,1.0
checkerboard_c100,checkerboard,64,3844,harmonic,64,31983.777989145317,jacobi-pcg,1e-08,True,190,6.510003004223108e-05,0.009135000058449805,0.009200100088492036,6.388641814976976e-09,0.3197669982910156,jacobi-pcg,True,2.7839044990717117
checkerboard_c100,checkerboard,64,3844,harmonic,64,31983.777989145317,amg-pcg,1e-08,True,28,0.0072459999937564135,0.0153213000157848,0.022567300009541214,2.640131663792828e-09,0.3197669982910156,jacobi-pcg,False,1.1349253130606882
checkerboard_c100,checkerboard,128,15876,arithmetic,128,31189.242101550008,cg,1e-08,True,1050,2.00001522898674e-07,0.6424089999636635,0.6424091999651864,9.307491102354429e-09,1.3266029357910156,amg-pcg,False,1.0
checkerboard_c100,checkerboard,128,15876,arithmetic,128,31189.242101550008,jacobi-pcg,1e-08,True,350,0.0001354999840259552,0.2174551000352949,0.21759060001932085,9.663696652581425e-09,1.3266029357910156,amg-pcg,False,2.9523756996310686
checkerboard_c100,checkerboard,128,15876,arithmetic,128,31189.242101550008,amg-pcg,1e-08,True,17,0.052194599993526936,0.04189999995287508,0.09409459994640201,2.2759863370142663e-09,1.3266029357910156,amg-pcg,True,6.827269581156775
checkerboard_c100,checkerboard,128,15876,harmonic,128,113254.62684127993,cg,1e-08,True,1308,2.00001522898674e-07,0.7990550000686198,0.7990552000701427,9.074868498452563e-09,1.3266029357910156,amg-pcg,False,1.0
checkerboard_c100,checkerboard,128,15876,harmonic,128,113254.62684127993,jacobi-pcg,1e-08,True,388,0.00013920001219958067,0.24762850010301918,0.24776770011521876,8.79142866836932e-09,1.3266029357910156,amg-pcg,False,3.2250176261819448
checkerboard_c100,checkerboard,128,15876,harmonic,128,113254.62684127993,amg-pcg,1e-08,True,32,0.05115850002039224,0.0814028000459075,0.13256130006629974,7.779074992722725e-09,1.3266029357910156,amg-pcg,True,6.0278165623790665
checkerboard_c100,checkerboard,256,64516,arithmetic,128,31189.242101550008,cg,1e-08,True,2268,5.00003807246685e-07,2.407224699971266,2.4072251999750733,9.554368262969479e-09,5.402774810791016,amg-pcg,False,1.0
checkerboard_c100,checkerboard,256,64516,arithmetic,128,31189.242101550008,jacobi-pcg,1e-08,True,718,0.00028380006551742554,0.8435715999221429,0.8438553999876603,9.718334064724532e-09,5.402774810791016,amg-pcg,False,2.8526512954829393
checkerboard_c100,checkerboard,256,64516,arithmetic,128,31189.242101550008,amg-pcg,1e-08,True,17,0.1538490999955684,0.13148089998867363,0.285329999984242,3.6698927018520976e-09,5.402774810791016,amg-pcg,True,8.43663547509206
checkerboard_c100,checkerboard,256,64516,harmonic,128,113254.62684127993,cg,1e-08,True,2809,3.00002284348011e-07,2.983135199989192,2.9831354999914765,8.849057972667751e-09,5.402774810791016,amg-pcg,False,1.0
checkerboard_c100,checkerboard,256,64516,harmonic,128,113254.62684127993,jacobi-pcg,1e-08,True,783,0.0005967000033706427,0.8864941999781877,0.8870908999815583,9.529585484713347e-09,5.402774810791016,amg-pcg,False,3.362829559015308
checkerboard_c100,checkerboard,256,64516,harmonic,128,113254.62684127993,amg-pcg,1e-08,True,31,0.15777149994391948,0.22409539995715022,0.3818668999010697,8.921319575761635e-09,5.402774810791016,amg-pcg,True,7.811977159487554
