repeat_index,coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
1,constant,constant,1.0,1.0,0.0,0.0,64,3844,cg,1e-08,True,116,4.00003045797348e-07,0.006216999958269298,0.006217399961315095,7.1195348044133394e-09,0.3197669982910156,cg,True,1.0
1,constant,constant,1.0,1.0,0.0,0.0,64,3844,jacobi-pcg,1e-08,True,116,0.00036810000892728567,0.008587699965573847,0.008955799974501133,7.1195407181813896e-09,0.3197669982910156,cg,False,0.6942316687528994
1,constant,constant,1.0,1.0,0.0,0.0,64,3844,amg-pcg,1e-08,True,8,0.18269340007100254,0.005845999927259982,0.18853939999826252,3.2936995443521594e-09,0.3197669982910156,cg,False,0.0329766614371977
1,constant,constant,1.0,1.0,0.0,0.0,128,15876,cg,1e-08,True,235,4.00003045797348e-07,0.1586708000395447,0.1586712000425905,9.50404988287223e-09,1.3266029357910156,amg-pcg,False,1.0
1,constant,constant,1.0,1.0,0.0,0.0,128,15876,jacobi-pcg,1e-08,True,235,0.0001615999499335885,0.15769070002716035,0.15785229997709394,9.504086634597289e-09,1.3266029357910156,amg-pcg,False,1.0051877613795643
1,constant,constant,1.0,1.0,0.0,0.0,128,15876,amg-pcg,1e-08,True,10,0.05507599993143231,0.027149599976837635,0.08222559990826994,9.216909890747511e-10,1.3266029357910156,amg-pcg,True,1.9297055931437717
1,constant,constant,1.0,1.0,0.0,0.0,256,64516,cg,1e-08,True,466,3.00002284348011e-07,0.5492719999747351,0.5492722999770194,9.709796185319237e-09,5.402774810791016,amg-pcg,False,1.0
1,constant,constant,1.0,1.0,0.0,0.0,256,64516,jacobi-pcg,1e-08,True,466,0.0003018999705091119,0.5646744999103248,0.5649763998808339,9.709851023876624e-09,5.402774810791016,amg-pcg,False,0.972203971870105
1,constant,constant,1.0,1.0,0.0,0.0,256,64516,amg-pcg,1e-08,True,9,0.15744999994058162,0.06618810002692044,0.22363809996750206,4.750412241271986e-09,5.402774810791016,amg-pcg,True,2.45607658112297
1,smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,cg,1e-08,True,242,2.00001522898674e-07,0.011536099947988987,0.011536299949511886,8.529053092533215e-09,0.3197669982910156,jacobi-pcg,False,1.0
1,smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,jacobi-pcg,1e-08,True,147,7.910002022981644e-05,0.00768230005633086,0.007761400076560676,8.232383469084395e-09,0.3197669982910156,jacobi-pcg,True,1.4863684175167515
1,smooth_c30,smooth,30.0,29.723113434605743,16.411269260375754,4.761912354840547,64,3844,amg-pcg,1e-08,True,8,0.011130099999718368,0.006190599990077317,0.017320699989795685,5.218358152329555e-09,0.3197669982910156,jacobi-pcg,False,0.666041208283059
1,smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,cg,1e-08,True,511,5.00003807246685e-07,0.3382110999664292,0.3382115999702364,9.408092132259827e-09,1.3266029357910156,amg-pcg,False,1.0
1,smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,jacobi-pcg,1e-08,True,299,0.00015239999629557133,0.19907159998547286,0.19922399998176843,9.925975237190156e-09,1.3266029357910156,amg-pcg,False,1.6976448620707703
1,smooth_c30,smooth,30.0,29.931391547005088,16.576202833556504,4.763772876868876,128,15876,amg-pcg,1e-08,True,9,0.0562015000032261,0.023755699978210032,0.07995719998143613,7.097643577363777e-09,1.3266029357910156,amg-pcg,True,4.229908001390242
