coefficient_case,n,method,repeat,solve_ratio,total_ratio
inclusion_c100,64,amg-pcg,5,0.9929215816549392,1.0630365507790607
inclusion_c100,64,amg-pcg,6,1.0059828684670598,1.1514002792590075
inclusion_c100,128,cg,0,1.7233973920536467,1.7233970898977773
inclusion_c100,128,cg,1,1.7561755188774073,1.7561751725114336
inclusion_c100,128,cg,2,1.6489576425027903,1.6489581043986763
inclusion_c100,128,cg,3,1.722366398408859,1.7223656481378469
inclusion_c100,128,cg,4,1.8309137965947437,1.8309121515417148
inclusion_c100,128,cg,5,1.6438456441782179,1.6438445016724648
inclusion_c100,128,cg,6,0.832468641392521,0.8324688294461291
inclusion_c100,128,jacobi-pcg,0,1.6129898727339003,1.6143775542242813
inclusion_c100,128,jacobi-pcg,1,1.6906730513980714,1.6879385554608382
inclusion_c100,128,jacobi-pcg,2,1.5935331391271186,1.5958569093815766
inclusion_c100,128,jacobi-pcg,3,1.7205329170866481,1.7186742296552937
inclusion_c100,128,jacobi-pcg,4,1.7593852865547008,1.7498970361970487
inclusion_c100,128,jacobi-pcg,5,1.581294871591437,1.5625156505446074
inclusion_c100,128,jacobi-pcg,6,0.5762943510754873,0.5768138844534161
inclusion_c100,128,amg-pcg,0,1.171630649167605,1.0938019758505286
inclusion_c100,128,amg-pcg,1,0.9954078772152889,1.0148348591475294
inclusion_c100,128,amg-pcg,2,1.0362531818080898,0.9869259780678332
inclusion_c100,128,amg-pcg,3,1.0301364695727822,0.9935732493293032
inclusion_c100,128,amg-pcg,4,1.1870087807459746,1.023507841181373
inclusion_c100,128,amg-pcg,5,1.0578045127526363,1.0830596599821205
inclusion_c100,128,amg-pcg,6,0.5409431519108187,0.6486310276189251
inclusion_c100,256,cg,0,1.8061901859372318,1.8061895793794092
inclusion_c100,256,cg,1,1.8517920048334384,1.8517917095788838
inclusion_c100,256,cg,2,1.8431432160928003,1.8431430117894847
inclusion_c100,256,cg,3,1.6988366786693432,1.698836671418813
inclusion_c100,256,cg,4,1.7862138502424885,1.7862135434196231
inclusion_c100,256,cg,5,1.3946774567275346,1.3946773131729642
inclusion_c100,256,cg,6,1.7689677632765997,1.7689676490182449
inclusion_c100,256,jacobi-pcg,0,1.933922849578562,1.9291126497632527
inclusion_c100,256,jacobi-pcg,1,1.7658096010027737,1.7644341966056833
inclusion_c100,256,jacobi-pcg,2,1.6534322783319262,1.6522032135079654
inclusion_c100,256,jacobi-pcg,3,1.5984872106718178,1.5946949098845662
inclusion_c100,256,jacobi-pcg,4,1.4469430618476986,1.445710162512754
inclusion_c100,256,jacobi-pcg,5,2.2078771399375015,2.2017426819012096
inclusion_c100,256,jacobi-pcg,6,3.006495135900825,3.0011762466164003
