coefficient_case,n,method,mode,setup_seconds_q25,setup_seconds_median,setup_seconds_q75,solve_seconds_q25,solve_seconds_median,solve_seconds_q75,total_seconds_q25,total_seconds_median,total_seconds_q75,iterations_q25,iterations_median,iterations_q75
constant,128,amg-pcg,monitored,0.021623099979478866,0.022064399963710457,0.024971799983177334,0.015839100000448525,0.016040400019846857,0.01654124999186024,0.03746219997992739,0.038403799990192056,0.041363549971720204,9.5,10.0,10.0
constant,128,amg-pcg,count-only,0.021326650021364912,0.021824800001922995,0.0264778999844566,0.014412849996006116,0.015280599996913224,0.016602499992586672,0.03573950001737103,0.03710539999883622,0.04308039997704327,9.5,10.0,10.0
constant,256,cg,monitored,2.500019036233425e-07,3.00002284348011e-07,3.00002284348011e-07,0.25324125002953224,0.2649268999812193,0.2853703500004485,0.2532415500318166,0.26492719998350367,0.2853705500019714,466.0,466.0,466.0
constant,256,cg,count-only,2.999731805175543e-07,4.00003045797348e-07,5.00003807246685e-07,0.13613515000906773,0.15169920003972948,0.1575297999952454,0.13613549998262897,0.1516993999830447,0.15753024999867193,466.0,466.0,466.0
constant,256,jacobi-pcg,monitored,0.0004736000264529139,0.0005183999892324209,0.0005571999936364591,0.26353055000072345,0.2881167999585159,0.3079022000019904,0.2640877499943599,0.28863519994774833,0.30837580002844334,466.0,466.0,466.0
constant,256,jacobi-pcg,count-only,0.0005238500016275793,0.0005658000009134412,0.0006191499996930361,0.15136864999658428,0.15855609998106956,0.18522574999951757,0.1518330000108108,0.1590995999868028,0.18581120000453666,466.0,466.0,466.0
constant,256,amg-pcg,monitored,0.07716045001870953,0.08145519997924566,0.0996101499767974,0.056340849987464026,0.05771979998098686,0.06833940002252348,0.1341394999762997,0.1411818999913521,0.1662775999866426,9.0,9.0,9.0
constant,256,amg-pcg,count-only,0.08397675002925098,0.086843199969735,0.09721445001196116,0.056503949977923185,0.05741459998534992,0.06126990000484511,0.14176455000415444,0.14769929996691644,0.15454240000690334,9.0,9.0,9.0
inclusion_c100,64,cg,monitored,2.500019036233425e-07,3.00002284348011e-07,4.00003045797348e-07,0.037205949978670105,0.03745329997036606,0.03896639999584295,0.03720619998057373,0.03745349997188896,0.0389666999981273,796.0,796.0,796.0
inclusion_c100,64,cg,count-only,2.00001522898674e-07,3.00002284348011e-07,4.500034265220165e-07,0.02271750001818873,0.02291290002176538,0.023411949980072677,0.022717800020473078,0.02291320002404973,0.023412149952491745,796.0,796.0,796.0
inclusion_c100,64,jacobi-pcg,monitored,0.00011459997040219605,0.00011900003300979733,0.00013464997755363584,0.006376300036208704,0.006586400035303086,0.006703249993734062,0.0064985500066541135,0.006666800007224083,0.006830249971244484,129.0,129.0,129.0
inclusion_c100,64,jacobi-pcg,count-only,0.00011339999036863446,0.00011690001701936126,0.00012429998605512083,0.003960850008297712,0.003992700017988682,0.004047399997944012,0.004074249998666346,0.004120600002352148,0.0041662000003270805,129.0,129.0,129.0
inclusion_c100,64,amg-pcg,monitored,0.007797900005243719,0.008698799996636808,0.010357599996495992,0.005136199994012713,0.0054021000396460295,0.006194899993715808,0.013141300005372614,0.013737900007981807,0.016491200018208474,10.0,10.0,10.0
inclusion_c100,64,amg-pcg,count-only,0.007523099979152903,0.008142200007569045,0.008607399999164045,0.004983550024917349,0.00519890000578016,0.005482899985508993,0.012538999988464639,0.01312550000147894,0.014090299984673038,10.0,10.0,10.0
inclusion_c100,128,cg,monitored,3.00002284348011e-07,3.00002284348011e-07,4.00003045797348e-07,0.25730850000400096,0.26792770001338795,0.2776069999963511,0.2573088000062853,0.26792810001643375,0.2776072999986354,1957.0,1957.0,1957.0
inclusion_c100,128,cg,count-only,2.00001522898674e-07,2.9994407668709755e-07,3.00002284348011e-07,0.14972660000785254,0.15200160001404583,0.1622683000168763,0.14972685000975616,0.15200180001556873,0.16226859999005683,1957.0,1957.0,1957.0
inclusion_c100,128,jacobi-pcg,monitored,0.00022284997976385057,0.0002280999906361103,0.00023979999241419137,0.03677370000514202,0.03805749997263774,0.0405828999937512,0.03702044999226928,0.03827899997122586,0.04075609997380525,264.0,264.0,264.0
inclusion_c100,128,jacobi-pcg,count-only,0.00013634999049827456,0.00019160000374540687,0.00028830001247115433,0.02208115000394173,0.022119600034784526,0.025201499985996634,0.022234750009374693,0.02233840001281351,0.02545260000624694,264.0,264.0,264.0
