n,contrast,geometry,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,components2_15,harmonic,dipole_x,7.679999998799758e-05,0.059284399999341986,0.05935789999966801,657.0,0.023016899999674933,0.0252093999997669,0.04806789999929606,17.0,True,9.189481994129266e-10,amg0,0,5,1.1312143863423765,1.3600840586988705,True
128,1000.0,components2_15,harmonic,dipole_y,0.00012070000047970098,0.05425530000047729,0.05437930000061897,660.0,0.022706300000209012,0.02549249999992753,0.049600500000451575,17.0,True,9.619702927725502e-10,amg0,0,5,1.0933196237843397,1.1557309185251061,True
128,1000.0,components2_15,harmonic,ones,0.00011269999959040433,0.055067000000235566,0.05514050000056159,657.0,0.022313600000416045,0.02549879999969562,0.04759719999947265,17.0,True,1.4744864112518728e-09,amg0,1,5,0.9076374612077738,1.3061251502254505,False
128,1000.0,components2_15,harmonic,random,7.31999998606625e-05,0.056913299999905576,0.05698649999976624,645.0,0.02343470000050729,0.02316259999952308,0.047704899999189365,15.0,True,9.503065666781508e-10,amg0,0,5,1.1275881309843658,1.256233714567096,True
128,1000.0,components2_37,harmonic,dipole_x,7.360000017797574e-05,0.058406600000125763,0.05848359999981767,652.0,0.022437900000113586,0.02498600000035367,0.04928909999944153,16.0,True,9.807954113638862e-10,amg0,0,5,1.0875416220970808,1.361546173263179,True
128,1000.0,components2_37,harmonic,dipole_y,7.869999990361976e-05,0.05935419999968872,0.05942889999914769,654.0,0.02254960000027495,0.028527499999654538,0.05361400000037975,17.0,True,9.65706820146313e-10,amg0,0,5,1.056326984940392,1.1871619352984997,True
128,1000.0,components2_37,harmonic,ones,7.549999918410322e-05,0.06292300000040996,0.06301890000031563,650.0,0.022913199999493372,0.026854699999603326,0.05014019999998709,17.0,True,1.542089761434372e-09,amg0,0,5,1.112871480528989,1.3294372477273895,True
128,1000.0,components2_37,harmonic,random,7.970000024215551e-05,0.059185499999330204,0.059282199998961005,652.0,0.022741100000530423,0.025760800000171002,0.048896700000113924,15.0,True,9.011286849619664e-10,amg0,0,5,1.202826311983929,1.2634431362400986,True
128,1000.0,components2_57,harmonic,dipole_x,0.00013729999955103267,0.05598729999928764,0.0561279999992621,667.0,0.021454900000208,0.02502710000044317,0.04648200000065117,17.0,True,9.365725963064787e-10,amg0,0,5,1.083344081825864,1.207521190965875,True
128,1000.0,components2_57,harmonic,dipole_y,8.550000075047137e-05,0.055068300000129966,0.055174700000861776,667.0,0.02261629999975412,0.026191599999947357,0.048807899999701476,17.0,True,9.747691093352875e-10,amg0,0,5,1.0427894735691754,1.2948661999663393,True
128,1000.0,components2_57,harmonic,ones,0.0001142999999501626,0.055985599999985425,0.05611899999985326,662.0,0.021705599999222613,0.02577819999987696,0.04813860000012937,17.0,True,1.474635093144113e-09,amg0,0,5,1.1640700030863618,1.2220478960673224,True
128,1000.0,components2_57,harmonic,random,7.62999998187297e-05,0.05310089999966294,0.05322840000008,647.0,0.022294599999440834,0.022806699999819102,0.04444809999949939,15.0,True,9.69435586331839e-10,amg0,0,5,1.1357543107937316,1.2311736217172453,True
128,1000.0,islands_symmetric,harmonic,dipole_x,0.0001233000002685003,0.022743100000298,0.022815600000285485,266.0,0.022645799999736482,0.024600799999461742,0.04764619999969,16.0,True,9.219999774846857e-10,jacobi,5,5,0.44247240475548244,0.5528962444314809,True
128,1000.0,islands_symmetric,harmonic,dipole_y,8.090000028460054e-05,0.026641299999937473,0.026714699999502045,317.0,0.022612999999182648,0.024849999999787542,0.048236999999971886,16.0,True,9.545251134480442e-10,jacobi,5,5,0.4245656287650704,0.6757924414765174,True
128,1000.0,islands_symmetric,harmonic,ones,0.00010939999992842786,0.030047100000047067,0.030156499999975495,364.0,0.022743599999557773,0.024108100000375998,0.04685169999993377,16.0,True,1.1832905376643109e-09,jacobi,5,5,0.6410588903199236,0.6758885028859889,True
128,1000.0,islands_symmetric,harmonic,random,0.00010870000005525071,0.053623800000423216,0.05374050000045827,641.0,0.022617499999796564,0.022015900000042166,0.04378489999908197,14.0,True,9.97847114882011e-10,amg0,0,5,1.1864580780707221,1.3848427197685818,True
192,1000.0,components1_169,harmonic,dipole_x,0.00022709999939252157,0.1668816000001243,0.1671150000001944,904.0,0.04268580000007205,0.04851119999966613,0.09119699999973818,15.0,True,9.381760013196109e-10,amg0,0,5,1.6396143431001364,1.921237483185387,True
192,1000.0,components1_169,harmonic,dipole_y,0.00020620000032067765,0.1571083999997427,0.15724309999950492,905.0,0.04118859999925917,0.05170230000021547,0.0939195999999356,15.0,True,9.57505966428983e-10,amg0,0,5,1.628693052359352,1.8675028984779418,True
192,1000.0,components1_169,harmonic,ones,0.00022650000028079376,0.17290669999965758,0.17305369999940012,906.0,0.04170550000071671,0.05002050000075542,0.09120620000157942,15.0,True,2.8311394903679566e-09,amg0,0,5,1.7535962489261188,2.1124566229951878,True
192,1000.0,components1_169,harmonic,random,0.00015940000048431102,0.1619991999996273,0.16213209999932587,875.0,0.04114989999925456,0.04468110000016168,0.08836060000066936,13.0,True,9.836659509410703e-10,amg0,0,5,1.6084469902753693,2.0748898787371126,True
192,1000.0,components1_29,harmonic,dipole_x,0.00014000000010128133,0.16600179999932152,0.16613719999895693,897.0,0.04220530000020517,0.05060150000008434,0.09283569999934116,15.0,True,9.525922876528353e-10,amg0,0,5,1.668966608624967,1.8965520390488664,True
