n,contrast,shift_x,shift_y,alpha,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,0,0,0.0,0.00016869999944901792,0.026511000000027707,0.02668050000011135,266.0,0.025825499999882595,0.027954700000009325,0.05378019999989192,15.0,True,9.116982490188135e-10,jacobi,3,3,0.4804388975770023,0.5027847292675118,True
128,1000.0,0,0,0.0001,0.0002133999996658531,0.047278900000492285,0.047506500000054075,423.0,0.027819100000670005,0.028818199999477656,0.05698019999999815,15.0,True,8.825442906643669e-10,jacobi,3,3,0.8042985806061416,0.8950807818733817,True
128,1000.0,0,0,0.01,0.00016789999972388614,0.043925400000262016,0.04405289999976958,439.0,0.028221900000062305,0.029185499999584863,0.05740739999964717,15.0,True,9.110266526314452e-10,jacobi,3,3,0.6638652042994215,0.7900680726360678,True
128,1000.0,0,0,1.0,0.00016709999999875436,0.047592200000508456,0.04770920000100887,458.0,0.026732999999694584,0.029673799999727635,0.05515629999899829,16.0,True,9.73957772923826e-10,jacobi,3,3,0.811778527577948,0.8741566041383,True
128,1000.0,0,0,1e-06,0.00017019999995682156,0.03979819999949541,0.03997129999970639,396.0,0.024713200000405777,0.026402699999380275,0.05195869999988645,15.0,True,8.901384736356097e-10,jacobi,3,3,0.7495830505681074,0.7692898398111143,True
128,1000.0,0,0,1e-08,0.00013479999961418798,0.03353319999951054,0.03364580000015849,379.0,0.023236199999701057,0.023472900000342634,0.04678689999946073,15.0,True,8.506399607143584e-10,jacobi,3,3,0.7106925229085856,0.7461622734004246,True
128,1000.0,0,1,0.0,0.00017389999993611127,0.03701269999965007,0.03718659999958618,331.0,0.029895599999690603,0.032701400000405556,0.06169100000079197,15.0,True,9.992668360691323e-10,jacobi,3,3,0.5388977875317004,0.6343648181933794,True
128,1000.0,0,4,0.0,0.00022989999979472486,0.029406900000140013,0.029662100000678038,335.0,0.023180199999842444,0.024413499999354826,0.047629600000618666,15.0,True,8.500909712679668e-10,jacobi,3,3,0.6227660950394871,0.6521007131198288,True
128,1000.0,1,0,0.0,0.000124399999549496,0.03948159999981726,0.03960599999936676,450.0,0.024241199999778473,0.026781499999742664,0.051043899999967834,15.0,True,9.104418491034476e-10,jacobi,3,3,0.7693730298702489,0.8696691333692785,True
128,1000.0,2,0,0.0,0.00015889999940554844,0.03932040000017878,0.03947929999958433,452.0,0.024612799999886192,0.023395199999868055,0.04800799999975425,14.0,True,9.602468327619275e-10,jacobi,3,3,0.8042556225509406,0.8360044159420245,True
128,1000.0,4,0,0.0,8.460000026389025e-05,0.04104960000040592,0.04112690000056318,456.0,0.022820799999863084,0.025692899999739893,0.04798709999977291,16.0,True,9.573939840949966e-10,jacobi,3,3,0.7915794968831238,0.8794238451668129,True
192,1000.0,0,0,0.0,0.0002930999999080086,0.07407119999970746,0.07436429999961547,403.0,0.04747459999998682,0.057912799999940034,0.10654149999936635,17.0,True,9.076303314903551e-10,jacobi,3,3,0.6822120957592492,0.7414364850236439,True
192,1000.0,0,0,0.0001,0.0003389000003153342,0.13034890000017185,0.1305872000002637,638.0,0.04924649999975372,0.06358819999968546,0.11283469999943918,17.0,True,9.446754414849683e-10,amg0,0,3,1.0486557386489752,1.1573319200645966,True
192,1000.0,0,0,0.01,0.00024049999956332613,0.13370880000002217,0.13385809999999765,664.0,0.04604329999983747,0.058366600000226754,0.10282029999962106,17.0,True,9.379209922709498e-10,amg0,0,3,1.1459109676306414,1.3128886027322346,True
192,1000.0,0,0,1.0,0.00025520000053802505,0.13422460000037972,0.13447980000091775,692.0,0.04665429999931803,0.059882399999878544,0.1088502000002336,17.0,True,1.5284410247627163e-09,amg0,0,3,1.1003200816956722,1.3371235868999491,True
192,1000.0,0,0,1e-06,0.0002389999999650172,0.1351886000002196,0.1354276000001846,595.0,0.04914059999919118,0.07009300000026997,0.12002819999906933,17.0,True,9.48588117075369e-10,amg0,0,3,1.1282981832705539,1.239445567202496,True
192,1000.0,0,0,1e-08,0.0002444000001560198,0.11876010000014503,0.11900450000030105,569.0,0.05106390000037209,0.06796729999950912,0.11815779999960796,17.0,True,9.469729996058267e-10,amg0,1,3,0.908770286089361,1.01212720682126,False
192,1000.0,0,1,0.0,0.00022760000047128415,0.10228860000006534,0.10260109999944689,491.0,0.05002370000056544,0.06515850000050705,0.11323989999982587,17.0,True,9.893366713175118e-10,jacobi,3,3,0.8950786118109588,0.9268473598525023,True
192,1000.0,0,4,0.0,0.00024980000034702243,0.09558070000002772,0.09583050000037474,505.0,0.04982120000022405,0.05928530000073806,0.11004760000014358,17.0,True,9.393362078850924e-10,jacobi,3,3,0.8665424836925991,0.9033890502949146,True
192,1000.0,1,0,0.0,0.00026059999981953297,0.1291707000000315,0.12930839999989985,677.0,0.04647259999910602,0.05580939999981638,0.10220709999975952,16.0,True,9.746160329003246e-10,amg0,0,3,1.2175563145911714,1.2677788247666801,True
192,1000.0,2,0,0.0,0.00024899999971239595,0.13126250000004802,0.13155550000010408,681.0,0.045896699999502744,0.058695199999419856,0.1045918999989226,17.0,True,9.971772444374563e-10,amg0,0,3,1.2135593480668347,1.2579358439990929,True
192,1000.0,4,0,0.0,0.0002311000007466646,0.1481951999994635,0.14842630000021018,688.0,0.04790039999988949,0.06850719999965804,0.11640759999954753,17.0,True,9.586909699611119e-10,amg0,0,3,1.2157500192502921,1.331159029741059,True
