n,contrast,geometry,variant,average,rhs,jacobi_setup,jacobi_solve,jacobi_total,jacobi_iterations,amg0_setup,amg0_solve,amg0_total,amg0_iterations,accepted,max_residual,winner,jacobi_wins,repeats,min_paired_ratio,max_paired_ratio,stable
128,1000.0,disconnected,shift_x,arithmetic,dipole_y,7.759999971312936e-05,0.036062099999981,0.03613569999924948,411.0,0.02332600000045204,0.024647700000059558,0.04906800000117073,16.0,True,9.300640770715896e-10,jacobi,5,5,0.707746585443285,0.8561120088239138,True
128,1000.0,disconnected,shift_x,arithmetic,ones,7.49000000723754e-05,0.04119280000031722,0.04126720000022033,471.0,0.022783200000048964,0.023742000000311236,0.04833450000023731,15.0,True,1.4292059178032373e-09,jacobi,5,5,0.8295179781022136,0.8671488876317669,True
128,1000.0,disconnected,shift_x,arithmetic,random,7.779999941703863e-05,0.055171599999994214,0.05524439999953756,636.0,0.02409200000056444,0.02165060000061203,0.046487500000694126,14.0,True,9.602483169836392e-10,amg0,0,5,1.0250877463411274,1.2708367102204625,True
128,1000.0,disconnected,shift_x,harmonic,dipole_x,0.000113999999484804,0.0443345000003319,0.044499399999949674,450.0,0.025129300000116928,0.02490120000038587,0.0501419000001988,15.0,True,9.092451541869095e-10,jacobi,5,5,0.8211251906175889,0.9157678925311094,True
128,1000.0,disconnected,shift_x,harmonic,dipole_y,8.770000022195745e-05,0.03718430000026274,0.037262699999701,412.0,0.024003999999877124,0.025535900000249967,0.04920369999945251,15.0,True,8.823308278763512e-10,jacobi,5,5,0.683923815732783,0.9039665716290288,True
128,1000.0,disconnected,shift_x,harmonic,ones,8.510000043315813e-05,0.044809999999415595,0.04489509999984875,465.0,0.02655700000013894,0.025101800000811636,0.05165880000095058,15.0,True,1.4490840733554655e-09,jacobi,5,5,0.8454636531284744,0.9013998849561192,True
128,1000.0,disconnected,shift_x,harmonic,random,8.129999969241908e-05,0.06262760000026901,0.06271889999970881,634.0,0.02527769999960583,0.021647200000188604,0.046924899999794434,13.0,True,9.301557341646773e-10,amg0,1,5,0.8894356425514588,1.3365803656477386,False
128,1000.0,disconnected,transpose,arithmetic,dipole_x,7.410000034724362e-05,0.0240444999999454,0.024118000000271422,267.0,0.024043800000072224,0.028176599999824248,0.05173839999952179,17.0,True,9.900099669016737e-10,jacobi,5,5,0.4235279927110118,0.5340925774913012,True
128,1000.0,disconnected,transpose,arithmetic,dipole_y,8.290000005217735e-05,0.029079299999466457,0.02917079999951966,327.0,0.023363500000414206,0.027869100000316394,0.0512326000007306,17.0,True,9.905692070265295e-10,jacobi,5,5,0.5473389989810544,0.610463196454022,True
128,1000.0,disconnected,transpose,arithmetic,ones,7.679999998799758e-05,0.03158309999980702,0.0316594999994777,368.0,0.0234349000002112,0.026687499999752617,0.05080790000010893,17.0,True,1.327991294630894e-09,jacobi,5,5,0.61718006006294,0.6962074759807797,True
128,1000.0,disconnected,transpose,arithmetic,random,7.619999996677507e-05,0.060784399999647576,0.06086059999961435,635.0,0.02320809999946505,0.024862400000529306,0.047911699999531265,15.0,True,9.284074799764309e-10,amg0,0,5,1.1910168544687691,1.2761454926589288,True
128,1000.0,disconnected,transpose,harmonic,dipole_x,7.499999992433004e-05,0.023652200000469747,0.023726200000055542,266.0,0.021832500000527943,0.024640200000249024,0.04669209999974555,16.0,True,9.116921635735068e-10,jacobi,5,5,0.4919825837844841,0.5253891983507412,True
128,1000.0,disconnected,transpose,harmonic,dipole_y,7.350000032602111e-05,0.028691400000752765,0.028761000000486092,328.0,0.02213370000026771,0.02482719999989058,0.047210300001097494,16.0,True,9.81318847343458e-10,jacobi,5,5,0.5828559969435283,0.6485340140020075,True
128,1000.0,disconnected,transpose,harmonic,ones,7.589999950141646e-05,0.03130700000019715,0.03138089999993099,366.0,0.022009500000422122,0.025315100000625534,0.04706880000048841,16.0,True,1.3814990133655381e-09,jacobi,5,5,0.6462812693455666,0.706500196422906,True
