n,contrast,shift_x,shift_y,alpha,repeat,order,method,seed,audit_seconds,operator_reflection_defect,rhs_even_fraction,rhs_odd_fraction,setup,solve,total,iterations,info,residual,accepted,complexity
128,1000.0,0,4,0.0,0,0,amg0,3701,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.022980099999585946,0.023487099999329075,0.04646719999891502,15,0,4.904497971796702e-10,True,1.3399006034788783
128,1000.0,0,4,0.0,0,1,jacobi,3701,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.00022989999979472486,0.029390199999397737,0.029620099999192462,335,0,8.500909712679668e-10,True,0.0
128,1000.0,0,4,0.0,1,0,amg0,3702,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.023180199999842444,0.024449400000776222,0.047629600000618666,15,0,4.970688614868886e-10,True,1.3399006034788783
128,1000.0,0,4,0.0,1,1,jacobi,3702,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.00025520000053802505,0.029406900000140013,0.029662100000678038,335,0,8.500909712679668e-10,True,0.0
128,1000.0,0,4,0.0,2,0,jacobi,3703,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.00014790000022912864,0.031728999999359075,0.031876899999588204,335,0,8.500909712679668e-10,True,0.0
128,1000.0,0,4,0.0,2,1,amg0,3703,0.0022368999998434447,0.0,5.312517350595355e-32,1.0,0.024469900000440248,0.024413499999354826,0.048883399999795074,15,0,4.957809461502631e-10,True,1.3399006034788783
128,1000.0,0,0,1e-08,0,0,jacobi,3701,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,9.750000026542693e-05,0.03354829999989306,0.03364580000015849,379,0,8.506399607143584e-10,True,0.0
128,1000.0,0,0,1e-08,0,1,amg0,3701,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,0.02169770000000426,0.02339410000058706,0.04509180000059132,15,0,7.850412785704802e-10,True,1.3399006034788783
128,1000.0,0,0,1e-08,1,0,jacobi,3702,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,0.0001909000002342509,0.03353319999951054,0.033724099999744794,379,0,8.506399607143584e-10,True,0.0
128,1000.0,0,0,1e-08,1,1,amg0,3702,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,0.023601699999744596,0.023472900000342634,0.04707460000008723,15,0,7.669249735245728e-10,True,1.3399006034788783
128,1000.0,0,0,1e-08,2,0,amg0,3703,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,0.023236199999701057,0.023550699999759672,0.04678689999946073,15,0,7.87603318895358e-10,True,1.3399006034788783
128,1000.0,0,0,1e-08,2,1,jacobi,3703,0.002357500000471191,0.0,9.999999948195741e-17,0.9999999999999998,0.00013479999961418798,0.03311630000007426,0.03325109999968845,379,0,8.506399607143584e-10,True,0.0
128,1000.0,4,0,0.0,0,0,jacobi,3701,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,7.730000015726546e-05,0.04104960000040592,0.04112690000056318,456,0,9.573939840949966e-10,True,0.0
128,1000.0,4,0,0.0,0,1,amg0,3701,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,0.022820799999863084,0.0249800999999934,0.04780089999985648,16,0,3.070628365830408e-10,True,1.3399006034788783
128,1000.0,4,0,0.0,1,0,amg0,3702,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,0.022294200000033015,0.025692899999739893,0.04798709999977291,16,0,3.084119489907844e-10,True,1.3399006034788783
128,1000.0,4,0,0.0,1,1,jacobi,3702,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,0.00012599999990925426,0.042075000000295404,0.04220100000020466,456,0,9.573939840949966e-10,True,0.0
128,1000.0,4,0,0.0,2,0,jacobi,3703,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,8.460000026389025e-05,0.04055239999979676,0.04063700000006065,456,0,9.573939840949966e-10,True,0.0
128,1000.0,4,0,0.0,2,1,amg0,3703,0.002375400000346417,1.0056895752024526,5.312517350595355e-32,1.0,0.02532919999976002,0.026007400000708003,0.051336600000468025,16,0,3.087005007900855e-10,True,1.3399006034788783
128,1000.0,1,0,0.0,0,0,amg0,3701,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,0.024067399999694317,0.02429409999967902,0.048361499999373336,15,0,2.2539096619536852e-10,True,1.3399006034788783
128,1000.0,1,0,0.0,0,1,jacobi,3701,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,0.000124399999549496,0.03948159999981726,0.03960599999936676,450,0,9.104418491034476e-10,True,0.0
128,1000.0,1,0,0.0,1,0,jacobi,3702,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,7.999999979801942e-05,0.03919179999957123,0.03927179999936925,450,0,9.104418491034476e-10,True,0.0
128,1000.0,1,0,0.0,1,1,amg0,3702,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,0.024241199999778473,0.02680270000018936,0.051043899999967834,15,0,2.205778418955716e-10,True,1.3399006034788783
128,1000.0,1,0,0.0,2,0,jacobi,3703,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,0.00017220000063389307,0.04560239999955229,0.04577460000018618,450,0,9.104418491034476e-10,True,0.0
128,1000.0,1,0,0.0,2,1,amg0,3703,0.0019933999992645113,0.47231320888026623,5.312517350595355e-32,1.0,0.02585300000009738,0.026781499999742664,0.052634499999840045,15,0,2.1418482521461443e-10,True,1.3399006034788783
192,1000.0,0,0,0.0,0,0,amg0,3701,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.05127840000022843,0.057912799999940034,0.10919120000016846,17,0,4.748182095961706e-10,True,1.3386725269834205
192,1000.0,0,0,0.0,0,1,jacobi,3701,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.00031290000060835155,0.07640360000004875,0.0767165000006571,403,0,9.076303314903551e-10,True,0.0
192,1000.0,0,0,0.0,1,0,amg0,3702,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.043326799999704235,0.0569707999993625,0.10029759999906673,17,0,4.781879985018316e-10,True,1.3386725269834205
192,1000.0,0,0,0.0,1,1,jacobi,3702,0.004074800000125833,0.0,2.716841757413203e-32,0.9999999999999998,0.0002930999999080086,0.07407119999970746,0.07436429999961547,403,0,9.076303314903551e-10,True,0.0
