n,contrast,geometry,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,disconnected,0,random,amg025,0,2,12401,0.04707819999930507,0.27786680000099295,0.324945000000298,82,0,9.244449732732071e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,odd_x,amg025,0,3,12401,0.04344929999933811,0.2678376000003482,0.3112868999996863,83,0,5.991424695526893e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,odd_x,jacobi,0,4,12401,0.0002738999992288882,0.09783659999993688,0.09811049999916577,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,disconnected,0,random,amg0,0,5,12401,0.0495799000000261,0.061182800000096904,0.110762700000123,15,0,8.823445536402488e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,rs025,0,6,12401,0.036496300001090276,0.04209240000091086,0.07858870000200113,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,jacobi,0,7,12401,0.0002849000011337921,0.18928459999915503,0.18956950000028883,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,disconnected,0,odd_x,jacobi,1,0,12402,0.0003257000007579336,0.07891840000047523,0.07924410000123316,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,disconnected,0,random,amg0,1,1,12402,0.04433750000134751,0.05228729999907955,0.09662480000042706,15,0,8.832405221375655e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,amg0,1,2,12402,0.04353300000002491,0.06220690000009199,0.1057399000001169,17,0,4.764406442035164e-10,True,1.3386725269834205,5
192,1000.0,disconnected,0,odd_x,amg025,1,3,12402,0.04432160000033036,0.2716282000001229,0.31594980000045325,83,0,5.981046932779704e-10,True,1.3057471903861133,4
192,1000.0,disconnected,0,random,jacobi,1,4,12402,0.0003049000006285496,0.167990900001314,0.16829580000194255,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,disconnected,0,random,rs025,1,5,12402,0.032078799998998875,0.03548360000058892,0.0675623999995878,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,disconnected,0,random,amg025,1,6,12402,0.04141010000057577,0.25066289999995206,0.2920730000005278,82,0,9.21442758941463e-10,True,1.3057471903861133,4
