n,contrast,geometry,average,rhs,method,count,iterations,median_total,all_accepted,max_residual
128,100.0,disconnected,harmonic,dipole,amg025,2,48.0,0.09699974999966798,True,3.4005500085782805e-09
128,100.0,disconnected,harmonic,ones,amg025,2,48.0,0.09761944999945626,True,4.543579723604579e-09
128,100.0,disconnected,harmonic,ones,jacobi,2,331.0,0.030830400000468217,True,8.710697636684197e-09
128,100.0,disconnected,harmonic,random,amg0,2,11.0,0.04096274999983507,True,7.321207864900862e-09
128,100.0,disconnected,harmonic,ones,cg,2,2078.0,0.18070304999992004,True,9.445731675946368e-09
128,100.0,disconnected,harmonic,dipole,cg,2,1810.0,0.15142430000014429,True,9.853401592999385e-09
128,100.0,disconnected,harmonic,ones,amg0,2,13.0,0.04777779999994891,True,2.3136379248688444e-09
128,100.0,disconnected,harmonic,random,jacobi,2,541.0,0.05721420000008948,True,9.716486686041103e-09
128,100.0,disconnected,harmonic,random,amg025,2,47.0,0.10085010000011607,True,8.047775883113275e-09
128,100.0,disconnected,harmonic,dipole,amg0,2,13.0,0.04512755000087054,True,1.6801067097073984e-09
128,100.0,disconnected,harmonic,dipole,jacobi,2,245.0,0.021422650000658905,True,8.979112186876454e-09
128,100.0,disconnected,harmonic,random,cg,2,3216.0,0.2610893500000202,True,7.816274442323586e-09
128,1000000.0,connected,harmonic,ones,jacobi,2,694.0,0.06476114999986748,False,1.0622168920345355e-06
128,1000000.0,connected,harmonic,ones,amg025,2,58.0,0.10821660000010525,False,3.499748361270299e-07
128,1000000.0,connected,harmonic,random,amg0,2,11.0,0.04102699999975812,True,4.213753674125525e-09
128,1000000.0,connected,harmonic,random,cg,2,8000.0,0.6643313000004127,False,0.22013855807178767
128,1000000.0,connected,harmonic,ones,amg0,2,13.0,0.048168400000577094,False,2.0760408073686722e-07
128,1000000.0,connected,harmonic,dipole,amg025,2,57.0,0.1178367999996226,True,1.242413072670771e-08
128,1000000.0,connected,harmonic,dipole,cg,2,8000.0,0.6732089000001906,False,0.735431147800285
128,1000000.0,connected,harmonic,random,jacobi,2,655.0,0.05988079999997353,True,1.0520030599343166e-08
128,1000000.0,connected,harmonic,ones,cg,2,8000.0,0.74314030000005,False,2.769350976814608
128,1000000.0,connected,harmonic,dipole,jacobi,2,644.0,0.05944149999959336,True,3.2640004636624253e-08
128,1000000.0,connected,harmonic,dipole,amg0,2,13.0,0.04067605000000185,True,7.164034189020183e-09
128,1000000.0,connected,harmonic,random,amg025,2,55.0,0.11049089999960415,True,9.22084892204682e-09
128,100.0,connected,arithmetic,random,amg0,2,11.0,0.04157119999990755,True,1.3319462365368838e-09
128,100.0,connected,arithmetic,dipole,amg0,2,12.0,0.049999450000086654,True,2.871140303729779e-09
128,100.0,connected,arithmetic,dipole,amg025,2,46.0,0.09451584999942497,True,5.998640368028122e-09
128,100.0,connected,arithmetic,dipole,cg,2,3757.0,0.3463560000000143,True,9.933137860834728e-09
128,100.0,connected,arithmetic,ones,jacobi,2,536.0,0.048105750000559055,True,9.736675927967521e-09
128,100.0,connected,arithmetic,ones,amg0,2,12.0,0.0444204999998874,True,4.3690630899116634e-09
128,100.0,connected,arithmetic,ones,cg,2,3792.0,0.3307488499995088,True,9.887048052918138e-09
128,100.0,connected,arithmetic,random,cg,2,3735.0,0.319975549999981,True,9.446828540956e-09
128,100.0,connected,arithmetic,dipole,jacobi,2,507.0,0.04975800000011077,True,9.405521146200533e-09
128,100.0,connected,arithmetic,ones,amg025,2,48.0,0.11946669999997539,True,5.748759696559419e-09
128,100.0,connected,arithmetic,random,jacobi,2,517.0,0.04613089999975273,True,9.622578747527438e-09
128,100.0,connected,arithmetic,random,amg025,2,46.0,0.10387254999977813,True,4.464970764693424e-09
128,10000.0,disconnected,arithmetic,random,amg0,2,15.0,0.048161050000089745,True,1.452127610217544e-09
128,10000.0,disconnected,arithmetic,dipole,amg0,2,16.0,0.05942410000034215,True,2.7625359292730436e-09
128,10000.0,disconnected,arithmetic,random,cg,2,8000.0,0.6734541999999237,False,0.00014182061698889573
128,10000.0,disconnected,arithmetic,random,amg025,2,58.0,0.11067909999928816,True,7.492403733863742e-09
128,10000.0,disconnected,arithmetic,random,jacobi,2,666.0,0.05866719999949055,True,9.848017086813585e-09
128,10000.0,disconnected,arithmetic,dipole,amg025,2,58.0,0.1242533499998899,True,7.619066186422351e-09
128,10000.0,disconnected,arithmetic,ones,amg0,2,16.0,0.04783099999940532,True,5.855246744069902e-09
128,10000.0,disconnected,arithmetic,ones,cg,2,7628.0,0.7071248999995987,True,4.839412156779373e-08
128,10000.0,disconnected,arithmetic,ones,jacobi,2,373.0,0.03426125000032698,True,1.3437863549632172e-08
128,10000.0,disconnected,arithmetic,ones,amg025,2,58.0,0.11347454999940965,True,9.246460543326058e-09
128,10000.0,disconnected,arithmetic,dipole,cg,2,6483.0,0.6761674999997922,True,8.873226627594324e-09
128,10000.0,disconnected,arithmetic,dipole,jacobi,2,253.0,0.02207989999988058,True,9.495251555540595e-09
128,100.0,connected,harmonic,random,cg,2,3510.0,0.3302604999998948,True,9.795502889694679e-09
128,100.0,connected,harmonic,ones,amg0,2,12.0,0.043335250000382075,True,2.4367254530975026e-09
128,100.0,connected,harmonic,random,amg025,2,44.0,0.09796045000030063,True,6.166255632366136e-09
128,100.0,connected,harmonic,random,jacobi,2,511.0,0.04754774999946676,True,9.422396856244489e-09
128,100.0,connected,harmonic,ones,cg,2,3590.0,0.29641294999964884,True,1.0007414141923457e-08
128,100.0,connected,harmonic,ones,amg025,2,46.0,0.09282275000077789,True,9.401927230872573e-09
128,100.0,connected,harmonic,ones,jacobi,2,532.0,0.05224529999986771,True,9.398725460175822e-09
128,100.0,connected,harmonic,dipole,amg025,2,46.0,0.09368604999963281,True,5.139924859111397e-09
128,100.0,connected,harmonic,random,amg0,2,10.0,0.04841400000032081,True,6.832000216747136e-09
128,100.0,connected,harmonic,dipole,jacobi,2,516.0,0.04332864999969388,True,9.781319281377417e-09
128,100.0,connected,harmonic,dipole,amg0,2,12.0,0.045762050000121235,True,2.048113492813504e-09
128,100.0,connected,harmonic,dipole,cg,2,3541.0,0.31151760000011564,True,9.63264195500745e-09
64,10000.0,disconnected,harmonic,random,amg0,2,13.0,0.017216900000676105,True,4.0442950451539014e-09
64,10000.0,disconnected,harmonic,ones,amg0,2,14.0,0.01909975000035047,True,6.129686007616562e-09
64,10000.0,disconnected,harmonic,ones,amg025,2,30.0,0.022887099999934435,True,2.415542978388282e-09
64,10000.0,disconnected,harmonic,random,cg,2,2624.0,0.09884345000000394,True,9.443262826902542e-09
64,10000.0,disconnected,harmonic,dipole,cg,2,1407.0,0.05675210000072184,True,8.011587465428281e-09
64,10000.0,disconnected,harmonic,ones,cg,2,1677.0,0.06605259999969348,True,1.1264887453482465e-08
64,10000.0,disconnected,harmonic,ones,jacobi,2,186.0,0.006674600000224018,True,5.576432797726545e-09
64,10000.0,disconnected,harmonic,dipole,jacobi,2,123.0,0.004721750000499014,True,8.418965535796534e-09
64,10000.0,disconnected,harmonic,random,jacobi,2,336.0,0.014377900000454247,True,9.307831411401557e-09
64,10000.0,disconnected,harmonic,dipole,amg025,2,30.0,0.028655499999786116,True,1.9853060647370916e-09
64,10000.0,disconnected,harmonic,dipole,amg0,2,14.0,0.02190885000027265,True,9.463663950448384e-09
64,10000.0,disconnected,harmonic,random,amg025,2,29.0,0.02376795000009224,True,5.287784599034633e-09
128,10000.0,disconnected,harmonic,random,amg0,2,14.0,0.046145099999648664,True,6.326525100117365e-09
128,10000.0,disconnected,harmonic,ones,amg025,2,58.0,0.11193880000064382,True,8.58242093648089e-09
128,10000.0,disconnected,harmonic,dipole,amg0,2,16.0,0.05632205000028989,True,1.6476523189874774e-09
128,10000.0,disconnected,harmonic,random,amg025,2,57.0,0.12705750000031912,True,8.057552914437041e-09
