geometry,average,n,contrast,method,mode,eigenvalue,lambda_max,condition,eigen_residual,reflection_parity,overlap_ones,overlap_random,overlap_dipole,energy_fraction
disconnected,arithmetic,64,10000.0,jacobi,6,0.00803731319990478,1.994402217590231,2555839.3141669245,6.214140402259014e-16,1.0000000000000002,0.08758409686859882,0.00019382685885588135,1.2390077659151084e-30,
disconnected,arithmetic,64,10000.0,jacobi,7,0.008476587418955489,1.994402217590231,2555839.3141669245,4.8953075174799924e-15,-0.9999999999999997,1.8366305923840882e-28,9.227702491982987e-05,0.00013963892958592815,
disconnected,arithmetic,64,10000.0,amg0,0,0.006634336019629483,0.999999999560803,150.7309844726031,3.5770790784915696e-12,0.9999992033476188,,,,
disconnected,arithmetic,64,10000.0,amg0,1,0.380219868270652,0.999999999560803,150.7309844726031,2.4046933933534013e-12,0.9584143449674152,,,,
disconnected,arithmetic,64,10000.0,amg0,2,0.5744299291112032,0.999999999560803,150.7309844726031,1.587248960131496e-12,0.39683170915773447,,,,
disconnected,arithmetic,64,10000.0,amg0,3,0.6049317629473194,0.999999999560803,150.7309844726031,1.0981266206135367e-09,0.2968834525609077,,,,
disconnected,arithmetic,64,10000.0,coarse_energy,1,,,,,,,,,0.8823796079252532
disconnected,arithmetic,64,10000.0,coarse_energy,2,,,,,,,,,0.7853120034141473
disconnected,harmonic,64,10000.0,jacobi,0,8.299284710044945e-07,1.9945092642650035,2403230.319175545,2.127519323347996e-16,0.999999999999999,0.00031934234690535125,8.896521430207092e-10,1.9407745874158095e-34,
disconnected,harmonic,64,10000.0,jacobi,1,1.887574158576301e-06,1.9945092642650035,2403230.319175545,2.452975067034044e-16,0.9999999999999996,4.416673847011595e-29,2.25525596710957e-08,5.935094252434795e-34,
disconnected,harmonic,64,10000.0,jacobi,2,0.0036539566370160778,1.9945092642650035,2403230.319175545,3.136214570508874e-16,1.0000000000000004,0.7003762051412261,0.0001712610533448162,6.389598788032566e-28,
disconnected,harmonic,64,10000.0,jacobi,3,0.0037172958950161357,1.9945092642650035,2403230.319175545,4.0675192301456026e-16,-0.9999999999999997,4.6623375143728655e-28,0.0003295777569208154,0.9712659953304182,
disconnected,harmonic,64,10000.0,jacobi,4,0.005273448531474985,1.9945092642650035,2403230.319175545,3.8939185179854993e-16,0.9999999999999997,5.7020088643755575e-31,0.00019306471666061375,6.385680878268599e-31,
disconnected,harmonic,64,10000.0,jacobi,5,0.005490735734996703,1.9945092642650035,2403230.319175545,9.961960314099704e-16,-0.9999999999999999,4.7468871891715675e-30,0.0003649653359268168,3.2220630345962706e-31,
disconnected,harmonic,64,10000.0,jacobi,6,0.007843546963090788,1.9945092642650035,2403230.319175545,5.445894467038567e-16,0.9999999999999992,0.08450613257013942,0.0001788695161922948,1.1970290802416312e-30,
disconnected,harmonic,64,10000.0,jacobi,7,0.008383364593222748,1.9945092642650035,2403230.319175545,2.755123985985774e-14,-1.0000000000000004,2.141168217005169e-27,9.133081870795974e-05,0.00011537400127391999,
disconnected,harmonic,64,10000.0,amg0,0,0.00907088473077583,0.9999999995771762,110.2428295868827,5.682657174465388e-12,0.999998572738501,,,,
disconnected,harmonic,64,10000.0,amg0,1,0.3650397810821371,0.9999999995771762,110.2428295868827,4.851721895429807e-13,0.977378986815207,,,,
disconnected,harmonic,64,10000.0,amg0,2,0.5970442824202485,0.9999999995771762,110.2428295868827,1.702506823534818e-12,-0.8124660046107037,,,,
disconnected,harmonic,64,10000.0,amg0,3,0.6276472789916459,0.9999999995771762,110.2428295868827,1.7350653065950904e-13,0.8096858446569397,,,,
disconnected,harmonic,64,10000.0,coarse_energy,1,,,,,,,,,0.7411141878536297
disconnected,harmonic,64,10000.0,coarse_energy,2,,,,,,,,,0.7567001998935929
