n,contrast,motif,shift,rhs,method,repeat,order,seed,setup,solve,total,iterations,info,residual,accepted,complexity,levels
192,1000.0,three_by_six,1,odd_x,rs025,0,16,13401,0.03257790000134264,0.04764169999907608,0.08021960000041872,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,0,random,amg0,0,17,13401,0.04675159999897005,0.04980339999929129,0.09655499999826134,15,0,8.874501113149465e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,rs025,0,18,13401,0.032272299999021925,0.04247929999837652,0.07475159999739844,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,random,rs025,0,19,13401,0.03646339999977499,0.05655130000013742,0.09301469999991241,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,0,odd_x,jacobi,0,20,13401,0.00040239999907498714,0.09307979999903182,0.09348219999810681,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,jacobi,0,21,13401,0.000294400000711903,0.0846397999994224,0.0849342000001343,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,three_by_six,1,random,amg0,0,22,13401,0.04582469999877503,0.052944600000046194,0.09876929999882123,14,0,7.343147322685282e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,amg0,0,23,13401,0.04449820000081672,0.05259990000013204,0.09709810000094876,16,0,1.6353251134003607e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,rs025,1,0,13402,0.04179440000007162,0.03954859999976179,0.08134299999983341,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,0,odd_x,jacobi,1,1,13402,0.00046799999836366624,0.08536709999862069,0.08583509999698435,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,two_by_eight,1,random,amg0,1,2,13402,0.04528130000107922,0.04938150000089081,0.09466280000197003,14,0,3.2633540268947893e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,jacobi,1,3,13402,0.0003240000005462207,0.20954229999915697,0.2098662999997032,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,three_by_six,0,random,rs025,1,4,13402,0.032088399999338435,0.03922909999891999,0.07131749999825843,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,random,rs025,1,5,13402,0.03340109999953711,0.04334259999995993,0.07674369999949704,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,1,odd_x,amg0,1,6,13402,0.054870500000106404,0.054560799999308074,0.10943129999941448,16,0,1.6380235957653387e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,rs025,1,7,13402,0.03348019999975804,0.04569389999960549,0.07917409999936353,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,two_by_eight,0,random,rs025,1,8,13402,0.03147040000112611,0.039785000000847504,0.07125540000197361,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,random,amg0,1,9,13402,0.04656559999966703,0.06341229999998177,0.1099778999996488,16,0,2.1220443573461777e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,jacobi,1,10,13402,0.0002580999989731936,0.08919950000017707,0.08945759999915026,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,amg0,1,11,13402,0.046150399999532965,0.057151700000758865,0.10330210000029183,17,0,4.741679976662352e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,odd_x,jacobi,1,12,13402,0.0003819999983534217,0.13679179999962798,0.1371737999979814,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,amg0,1,13,13402,0.04508270000042103,0.05563310000070487,0.1007158000011259,15,0,8.794640695730296e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,amg0,1,14,13402,0.05214779999914754,0.05303230000026815,0.10518009999941569,14,0,7.367191035464938e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,amg0,1,15,13402,0.042726800000309595,0.062268600000606966,0.10499540000091656,18,0,2.0650640956057268e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,rs025,1,16,13402,0.03301060000012512,0.04343929999959073,0.07644989999971585,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,0,odd_x,rs025,1,17,13402,0.03036689999862574,0.04301049999958195,0.07337739999820769,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,three_by_six,0,random,jacobi,1,18,13402,0.00030479999986710027,0.18966229999932693,0.18996709999919403,951,0,9.931286841477768e-10,True,0.0,0
192,1000.0,three_by_six,1,random,jacobi,1,19,13402,0.0003833999999187654,0.19694460000027902,0.1973280000001978,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,rs025,1,20,13402,0.033114099998783786,0.04791450000084296,0.08102859999962675,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,1,odd_x,jacobi,1,21,13402,0.0004272999995009741,0.15904709999995248,0.15947439999945345,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,amg0,1,22,13402,0.05076790000020992,0.06517410000014934,0.11594200000035926,16,0,3.735805830149129e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,jacobi,1,23,13402,0.00031710000075690914,0.20144030000119528,0.2017574000019522,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,three_by_six,1,random,amg0,2,0,13403,0.04725300000063726,0.04779439999947499,0.09504740000011225,14,0,7.36085744761519e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,jacobi,2,1,13403,0.0003394999985175673,0.08208019999983662,0.08241969999835419,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,three_by_six,1,random,rs025,2,2,13403,0.03202459999920393,0.043402000001151464,0.07542660000035539,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,random,amg0,2,3,13403,0.061119800000597024,0.05745329999990645,0.11857310000050347,16,0,2.1148385644361268e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,jacobi,2,4,13403,0.00032589999864285346,0.22883830000137095,0.2291642000000138,949,0,9.941891616592456e-10,True,0.0,0
192,1000.0,three_by_six,1,random,jacobi,2,5,13403,0.000408199999583303,0.24351469999965047,0.24392289999923378,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,two_by_eight,0,random,amg0,2,6,13403,0.06295989999853191,0.06728600000133156,0.13024589999986347,15,0,8.857419016210842e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,amg0,2,7,13403,0.05768580000039947,0.06398009999975329,0.12166590000015276,14,0,3.263642580593636e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,odd_x,amg0,2,8,13403,0.05978840000170749,0.06877069999973173,0.12855910000143922,16,0,1.642588341822914e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,odd_x,amg0,2,9,13403,0.06265419999908772,0.07968459999938204,0.14233879999846977,18,0,2.0575560668300025e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,odd_x,rs025,2,10,13403,0.03640400000040245,0.06108709999898565,0.0974910999993881,13,0,4.5976562271198307e-10,True,2.1999221097140316,8
192,1000.0,two_by_eight,1,odd_x,jacobi,2,11,13403,0.0004071000003023073,0.1771083000003273,0.1775154000006296,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,rs025,2,12,13403,0.038308600000164006,0.04945899999984249,0.0877676000000065,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,two_by_eight,0,odd_x,amg0,2,13,13403,0.04468319999978121,0.07466519999979937,0.11934839999958058,17,0,4.788045390047572e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,random,rs025,2,14,13403,0.04068809999989753,0.039209000000482774,0.0798971000003803,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,random,jacobi,2,15,13403,0.0004704999992100056,0.2214758999998594,0.2219463999990694,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,amg0,2,16,13403,0.059351399999286514,0.06256539999958477,0.12191679999887128,16,0,3.72829616299096e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,jacobi,2,17,13403,0.00029529999847,0.10908790000030422,0.10938319999877422,403,0,9.076303314903551e-10,True,0.0,0
192,1000.0,three_by_six,0,odd_x,rs025,2,18,13403,0.03790850000041246,0.05664539999997942,0.09455390000039188,12,0,1.9283441204080997e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,1,random,rs025,2,19,13403,0.03836830000000191,0.041013899999597925,0.07938219999959983,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,1,odd_x,jacobi,2,20,13403,0.00035820000084640924,0.16543499999897904,0.16579319999982545,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,three_by_six,0,random,jacobi,2,21,13403,0.0004946000008203555,0.25520959999994375,0.2557042000007641,951,0,9.931286841477768e-10,True,0.0,0
192,1000.0,two_by_eight,0,odd_x,rs025,2,22,13403,0.041064400000323076,0.048666500000763335,0.08973090000108641,11,0,1.93057044845583e-10,True,2.204167130299321,8
192,1000.0,two_by_eight,0,random,rs025,2,23,13403,0.03202699999928882,0.03973550000046089,0.07176249999974971,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,two_by_eight,1,odd_x,jacobi,3,0,13404,0.0004231000002619112,0.17630429999917396,0.17672739999943587,677,0,9.746160329003246e-10,True,0.0,0
192,1000.0,three_by_six,0,random,rs025,3,1,13404,0.03932070000155363,0.04081109999970067,0.0801318000012543,10,0,8.762562069413869e-10,True,2.1991932791810394,8
192,1000.0,two_by_eight,0,random,rs025,3,2,13404,0.04006690000096569,0.040377799999987474,0.08044470000095316,10,0,1.8698166390610062e-10,True,2.204167130299321,8
192,1000.0,three_by_six,0,odd_x,amg0,3,3,13404,0.05258060000051046,0.0634513999993942,0.11603199999990466,18,0,2.0434134047752363e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,1,random,rs025,3,4,13404,0.0341534999988653,0.041725400000359514,0.07587889999922481,11,0,1.6185291937575478e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,1,random,rs025,3,5,13404,0.03672990000086429,0.042985699999917415,0.0797156000007817,11,0,8.916570637949889e-10,True,2.1999221097140316,8
192,1000.0,three_by_six,0,odd_x,jacobi,3,6,13404,0.0003242999991925899,0.0951282000005449,0.09545249999973748,424,0,9.925992214146663e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,jacobi,3,7,13404,0.0003842999994958518,0.14826720000019122,0.14865149999968708,677,0,9.86997938544521e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,rs025,3,8,13404,0.03529450000132783,0.0447163000008004,0.08001080000212824,12,0,3.9635736687167694e-10,True,2.2042172026260154,8
192,1000.0,three_by_six,0,random,amg0,3,9,13404,0.04435899999953108,0.05330669999966631,0.09766569999919739,16,0,2.1010026528600465e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,jacobi,3,10,13404,0.00030590000096708536,0.2014259999996284,0.2017319000005955,952,0,9.485350330749907e-10,True,0.0,0
192,1000.0,three_by_six,1,odd_x,amg0,3,11,13404,0.0506561000001966,0.0562091000010696,0.1068652000012662,16,0,3.7242420631656223e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,1,random,amg0,3,12,13404,0.04815429999871412,0.05719449999924109,0.10534879999795521,14,0,7.342520607193095e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,odd_x,amg0,3,13,13404,0.05108800000016345,0.061395799999445444,0.11248379999960889,17,0,4.73252419641343e-10,True,1.3386725269834205,5
192,1000.0,two_by_eight,0,random,amg0,3,14,13404,0.05166129999997793,0.06205390000104671,0.11371520000102464,15,0,8.787795895662102e-10,True,1.3386725269834205,5
192,1000.0,three_by_six,0,random,jacobi,3,15,13404,0.0003353000010974938,0.2424183000002813,0.2427536000013788,951,0,9.931286841477768e-10,True,0.0,0
192,1000.0,two_by_eight,1,random,jacobi,3,16,13404,0.00037039999915577937,0.2508328999992955,0.25120329999845126,953,0,9.762198060529e-10,True,0.0,0
192,1000.0,two_by_eight,1,odd_x,amg0,3,17,13404,0.054911000001084176,0.08106580000094255,0.13597680000202672,16,0,1.600237717925846e-10,True,1.3386725269834205,5
