n,contrast,geometry,average,rhs,repeat,order,method,seed,reflection_x,reflection_y,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,components1_32,harmonic,random,0,0,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.043510100000276,0.04371179999998276,0.08722190000025876,13,0,2.2581662063900565e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,random,0,1,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0003378999999767984,0.16687280000041937,0.16721070000039617,877,0,9.822947352731497e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_y,0,2,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.046999500000310945,0.056720700000369106,0.10372020000068005,15,0,5.72235589379703e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,ones,0,3,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.05195550000007643,0.05078940000021248,0.10274490000028891,15,0,5.189770903562997e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,ones,0,4,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00026030000026366906,0.15246569999999338,0.15272600000025705,906,0,2.800261512325722e-09,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,0,5,amg0,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.03991969999970024,0.04732460000013816,0.0872442999998384,15,0,2.776604991983436e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,dipole_y,0,6,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00021379999998316634,0.15006220000032044,0.1502760000003036,906,0,9.872285847791913e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,0,7,jacobi,2701,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00021719999949709745,0.1504453999996258,0.1506625999991229,904,0,9.833006685581348e-10,True,0.0
192,1000.0,components1_32,harmonic,random,1,0,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0002207000006819726,0.15616430000045511,0.1563850000011371,877,0,9.822947352731497e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_y,1,1,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00023039999996399274,0.16035139999985404,0.16058179999981803,906,0,9.872285847791913e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,1,2,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.039756600000146136,0.046784500000285334,0.08654110000043147,15,0,2.78218903052769e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,dipole_y,1,3,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041058899999370624,0.04615749999993568,0.0872163999993063,15,0,5.740587009903133e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,ones,1,4,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.03904179999972257,0.04817029999958322,0.08721209999930579,15,0,4.970554224457313e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,random,1,5,amg0,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.03889100000014878,0.04069609999987733,0.07958710000002611,13,0,2.2624264233913862e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,ones,1,6,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00023500000042986358,0.154137599999558,0.15437259999998787,906,0,2.800261512325722e-09,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,1,7,jacobi,2702,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00014449999980570283,0.18898169999920356,0.18912619999900926,904,0,9.833006685581348e-10,True,0.0
192,1000.0,components1_32,harmonic,random,2,0,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.042482599999857484,0.04452439999931812,0.0870069999991756,13,0,2.2662927767948822e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,dipole_x,2,1,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00027940000018134015,0.17531220000000758,0.17559160000018892,904,0,9.833006685581348e-10,True,0.0
192,1000.0,components1_32,harmonic,ones,2,2,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0001345999999102787,0.17430160000003525,0.17443619999994553,906,0,2.800261512325722e-09,True,0.0
192,1000.0,components1_32,harmonic,ones,2,3,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.0472964000000502,0.04858389999935753,0.09588029999940773,15,0,4.987298878413092e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,random,2,4,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00022340000032272656,0.16500379999979486,0.1652272000001176,877,0,9.822947352731497e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_y,2,5,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.041453200000432844,0.05051589999948192,0.09196909999991476,15,0,5.747557572811229e-10,True,1.3386725269834205
192,1000.0,components1_32,harmonic,dipole_y,2,6,jacobi,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.00025300000015704427,0.1695199000005232,0.16977290000068024,906,0,9.872285847791913e-10,True,0.0
192,1000.0,components1_32,harmonic,dipole_x,2,7,amg0,2703,False,False,1728,47.828125,1255.2879581151833,932.943434704179,1,0.04151780000029248,0.056152400000428315,0.0976702000007208,15,0,2.7919251611865655e-10,True,1.3386725269834205
