n,contrast,geometry,average,rhs,repeat,method,order,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,levels,complexity
64,1000000.0,disconnected,harmonic,dipole,1,jacobi,13,732,192,46875.953125,1269840.0,615.4495956687256,2,4.340000032243552e-05,0.0039034999999785214,0.003946900000300957,126,0,9.10830844128186e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,random,1,jacobi,14,732,192,46875.953125,1269840.0,615.4495956687256,2,3.389999983482994e-05,0.015218999999888183,0.015252899999723013,393,0,9.283485016951348e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,random,0,cg,15,731,192,46875.953125,1269840.0,615.4495956687256,2,8.000006346264854e-07,0.12374909999925876,0.12374989999989339,4261,0,8.8321462312704e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,random,0,amg025,16,731,192,46875.953125,1269840.0,615.4495956687256,2,0.007296699999642442,0.014557100000274659,0.0218537999999171,34,0,6.62886249002592e-09,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,ones,0,amg025,17,731,192,46875.953125,1269840.0,615.4495956687256,2,0.0078934000002846,0.014787900000555965,0.022681300000840565,35,0,7.225139236469206e-08,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,dipole,0,cg,18,731,192,46875.953125,1269840.0,615.4495956687256,2,1.100000190490391e-06,0.061025599999993574,0.061026700000184064,2106,0,8.37366218744511e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,dipole,1,amg025,19,732,192,46875.953125,1269840.0,615.4495956687256,2,0.008071999999629043,0.014946100000088336,0.02301809999971738,35,0,1.794132672184546e-09,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,ones,0,jacobi,20,731,192,46875.953125,1269840.0,615.4495956687256,2,3.899999956047395e-05,0.0062515999998140614,0.006290599999374535,204,0,1.4298830930295355e-07,False,0,0.0
64,1000000.0,disconnected,harmonic,dipole,0,amg025,21,731,192,46875.953125,1269840.0,615.4495956687256,2,0.007165900000472902,0.015130700000554498,0.0222966000010274,35,0,1.7436251724030266e-09,True,3,1.3134092346616066
64,1000000.0,disconnected,harmonic,dipole,1,cg,22,732,192,46875.953125,1269840.0,615.4495956687256,2,1.100000190490391e-06,0.06070679999993445,0.06070790000012494,2106,0,8.37366218744511e-09,True,0,0.0
64,1000000.0,disconnected,harmonic,random,1,amg0,23,732,192,46875.953125,1269840.0,615.4495956687256,2,0.00841500000024098,0.007575200000246696,0.015990200000487675,15,0,3.800472655757325e-09,True,4,1.3290638836179633
64,10000.0,connected,harmonic,dipole,0,cg,0,731,192,469.703125,12697.142857142857,410.2997304458171,1,9.99999429041054e-07,0.10710430000017368,0.10710529999960272,3684,0,9.263588275589398e-09,True,0,0.0
64,10000.0,connected,harmonic,ones,1,amg025,1,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.007045400000606605,0.01049920000059501,0.017544600001201616,25,0,5.038844830204984e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,dipole,1,jacobi,2,732,192,469.703125,12697.142857142857,410.2997304458171,1,4.099999932805076e-05,0.008917500000279688,0.008958499999607739,291,0,9.619221781759218e-09,True,0,0.0
64,10000.0,connected,harmonic,ones,0,amg025,3,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.00693299999966257,0.010329199999432603,0.017262199999095174,25,0,4.934711079395093e-09,True,3,1.3029728020240354
64,10000.0,connected,harmonic,random,0,jacobi,4,731,192,469.703125,12697.142857142857,410.2997304458171,1,3.219999962311704e-05,0.008855299999595445,0.008887499999218562,290,0,9.48507642580556e-09,True,0,0.0
64,10000.0,connected,harmonic,dipole,0,amg0,5,731,192,469.703125,12697.142857142857,410.2997304458171,1,0.0067891999997300445,0.005751700000473647,0.012540900000203692,12,0,1.4125973190087652e-09,True,4,1.3290638836179633
64,10000.0,connected,harmonic,random,1,jacobi,6,732,192,469.703125,12697.142857142857,410.2997304458171,1,3.130000004603062e-05,0.017464499999732652,0.017495799999778683,290,0,9.48507642580556e-09,True,0,0.0
64,10000.0,connected,harmonic,ones,0,jacobi,7,731,192,469.703125,12697.142857142857,410.2997304458171,1,3.980000019510044e-05,0.010849399999642628,0.010889199999837729,296,0,9.126522441034038e-09,True,0,0.0
64,10000.0,connected,harmonic,ones,1,jacobi,8,732,192,469.703125,12697.142857142857,410.2997304458171,1,3.2300000384566374e-05,0.009043600000040897,0.009075900000425463,296,0,9.126522441034038e-09,True,0,0.0
64,10000.0,connected,harmonic,random,1,amg0,9,732,192,469.703125,12697.142857142857,410.2997304458171,1,0.0080324999998993,0.005444299999908253,0.013476799999807554,11,0,6.115448726074809e-10,True,4,1.3290638836179633
