n,contrast,geometry,variant,average,rhs,jacobi_seconds,jacobi_iterations,amg0_seconds,amg0_iterations,winner,jacobi_to_amg,all_accepted,stable,jacobi_wins,min_paired_ratio,max_paired_ratio,max_residual
96,1000.0,disconnected,shift_x,harmonic,dipole_x,0.019616900000073656,336,0.028954000000339875,15,jacobi,0.6775195137059952,True,True,5,0.6169783295808636,0.7122512661295746,9.784214399938253e-10
96,1000.0,disconnected,shift_x,harmonic,ones,0.019474499999887485,351,0.0306217999996079,15,jacobi,0.6359684930388432,True,True,5,0.6071556864813764,0.7035904093191594,1.0405627993303632e-09
96,1000.0,disconnected,shift_x,harmonic,random,0.026200900000731053,473,0.028187599999910162,13,jacobi,0.9295186536212575,True,False,4,0.9134325756810898,1.0431005122632562,9.402780609630928e-10
96,1000.0,disconnected,shift_x,harmonic,dipole_y,0.01767759999984264,307,0.029118199999174976,15,jacobi,0.6070979662322366,True,True,5,0.6000495566167195,0.6300416087813302,8.784522641030796e-10
128,1000.0,disconnected,shift_x,harmonic,dipole_y,0.037262699999701,412,0.04920369999945251,15,jacobi,0.7573149986711492,True,True,5,0.683923815732783,0.9039665716290288,8.823308278763512e-10
128,1000.0,disconnected,shift_x,harmonic,random,0.06271889999970881,634,0.046924899999794434,13,amg0,1.3365803656477386,True,False,1,0.8894356425514588,1.3365803656477386,9.301557341646773e-10
128,1000.0,disconnected,shift_x,harmonic,dipole_x,0.044499399999949674,450,0.0501419000001988,15,jacobi,0.8874693619462614,True,True,5,0.8211251906175889,0.9157678925311094,9.092451541869095e-10
128,1000.0,disconnected,shift_x,harmonic,ones,0.04489509999984875,465,0.05165880000095058,15,jacobi,0.8690697422128009,True,True,5,0.8454636531284744,0.9013998849561192,1.4490840733554655e-09
128,1000.0,connected,centered,arithmetic,random,0.05082849999962491,578,0.04398800000035408,12,amg0,1.155508320433204,True,True,0,1.13831670441691,1.248431390349569,9.357024475435316e-10
128,1000.0,connected,centered,arithmetic,dipole_y,0.05374019999999291,605,0.04601670000010927,14,amg0,1.167841240242462,True,True,0,1.0978963807842772,1.3142062882228034,9.981650865034545e-10
128,1000.0,connected,centered,arithmetic,dipole_x,0.05356080000001384,589,0.04763790000015433,14,amg0,1.1243316770856886,True,True,0,1.0357003445807715,1.2063296161014228,9.193781446403434e-10
128,1000.0,connected,centered,arithmetic,ones,0.05267329999969661,608,0.046140300000843126,14,amg0,1.1415898899386026,True,True,0,1.067862067836217,1.1800458991108718,1.5338059864787499e-09
192,1000.0,connected,centered,harmonic,ones,0.1690337999998519,909,0.09465399999953661,15,amg0,1.7858072559076155,True,True,0,1.657027575701775,2.0173061888711388,2.7570742276220587e-09
192,1000.0,connected,centered,harmonic,dipole_y,0.17269970000052126,906,0.09495410000090487,15,amg0,1.8187703321802378,True,True,0,1.730668117046185,1.9067806854024512,9.948467581205373e-10
192,1000.0,connected,centered,harmonic,random,0.16554919999998674,870,0.09196669999982987,13,amg0,1.8000993838018868,True,True,0,1.6827269525900037,2.0029607750128964,9.600083569394741e-10
