n,contrast,geometry,variant,average,rhs,repeat,order,method,seed,high_nodes,mean,tv,grad,components,setup,solve,total,iterations,info,residual,accepted,complexity
192,1000.0,disconnected,shift_x,arithmetic,random,2,2,amg0,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.043575000000600994,0.049836799999866344,0.09341180000046734,15,0,9.072844615908085e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,2,3,amg0,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04321059999983845,0.05932629999915662,0.10253689999899507,18,0,4.872631028923775e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,2,4,jacobi,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002184999993914971,0.12265949999982695,0.12287799999921845,709,0,2.4179578511589817e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,2,5,jacobi,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00024339999981748406,0.10688180000033753,0.10712520000015502,619,0,1.4228279724849618e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,2,6,amg0,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04432360000009794,0.0599608000002263,0.10428440000032424,17,0,7.225239386959559e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,2,7,jacobi,1703,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002206999997724779,0.12492899999961082,0.1251496999993833,677,0,9.212533792241898e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,3,0,amg0,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.043577299999924435,0.05535220000001573,0.09892949999994016,17,0,7.139710521828256e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,3,1,jacobi,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002310999998371699,0.1261313999993945,0.12636249999923166,677,0,9.212533792241898e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,ones,3,2,amg0,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04302300000017567,0.055621399999836285,0.09864440000001196,17,0,1.101072814654822e-09,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,3,3,jacobi,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002783999998428044,0.1276506000003792,0.127929000000222,709,0,2.4179578511589817e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,random,3,4,jacobi,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00022340000032272656,0.16781449999962206,0.16803789999994478,951,0,9.79943997904436e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,3,5,jacobi,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002223999999841908,0.10854719999952067,0.10876959999950486,619,0,1.4228279724849618e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,3,6,amg0,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04408109999985754,0.05626070000016625,0.1003418000000238,17,0,8.144222648236015e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,random,3,7,amg0,1704,1728,47.828125,1255.2879581151833,932.943434704179,2,0.043145199999344186,0.049627399999735644,0.09277259999907983,15,0,9.007940947952781e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,4,0,amg0,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.045945899999424,0.059433399999761605,0.1053792999991856,17,0,7.198494062735552e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,random,4,1,jacobi,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00036439999985304894,0.1728954000000158,0.17325979999986885,951,0,9.79943997904436e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_y,4,2,jacobi,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002933999994638725,0.10295179999957327,0.10324519999903714,619,0,1.4228279724849618e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,4,3,jacobi,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.00021920000017416896,0.11899819999962347,0.11921739999979764,677,0,9.212533792241898e-10,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,dipole_x,4,4,amg0,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04470859999946697,0.05606589999933931,0.10077449999880628,17,0,8.196338788194512e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,4,5,amg0,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04389309999987745,0.05819760000031238,0.10209070000018983,18,0,5.008616576784021e-10,True,1.3386725269834205
192,1000.0,disconnected,shift_x,arithmetic,ones,4,6,jacobi,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.0002176000007239054,0.12035939999987022,0.12057700000059413,709,0,2.4179578511589817e-09,True,0.0
192,1000.0,disconnected,shift_x,arithmetic,random,4,7,amg0,1705,1728,47.828125,1255.2879581151833,932.943434704179,2,0.04359019999992597,0.04959110000072542,0.09318130000065139,15,0,9.067374747720029e-10,True,1.3386725269834205
128,1000.0,disconnected,centered,arithmetic,ones,0,0,jacobi,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,8.990000060293823e-05,0.032716099999561266,0.032806000000164204,368,0,1.3868394842897765e-09,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_y,0,1,amg0,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,0.022291799999948125,0.02589720000014495,0.048189000000093074,16,0,3.2822928697058346e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,0,2,jacobi,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,7.689999983995222e-05,0.0574823999995715,0.05755929999941145,635,0,9.28053873396141e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_x,0,3,amg0,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,0.021977000000333646,0.024438499999632768,0.046415499999966414,16,0,1.9427417804997948e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_y,0,4,jacobi,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,9.070000032807002e-05,0.0271669000003385,0.02725760000066657,327,0,9.968340188268084e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,0,5,amg0,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,0.02155510000011418,0.025228700000297977,0.04678380000041216,16,0,4.14055015048211e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,0,6,amg0,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,0.020929899999828194,0.02148529999976745,0.04241519999959564,14,0,7.47384960691795e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,dipole_x,0,7,jacobi,1701,768,47.828125,1258.5826771653544,620.3341162692709,2,8.750000051804818e-05,0.02423079999971378,0.02431830000023183,267,0,9.90014285829128e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,dipole_x,1,0,amg0,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,0.0222819000000527,0.0255421000001661,0.0478240000002188,16,0,1.94398678014804e-10,True,1.3399006034788783
128,1000.0,disconnected,centered,arithmetic,random,1,1,jacobi,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,7.850000019971048e-05,0.05568990000028862,0.05576840000048833,635,0,9.28053873396141e-10,True,0.0
128,1000.0,disconnected,centered,arithmetic,ones,1,2,jacobi,1702,768,47.828125,1258.5826771653544,620.3341162692709,2,8.270000034826808e-05,0.03209359999982553,0.032176300000173796,368,0,1.3868394842897765e-09,True,0.0
